,Unnamed: 0,score,time,samples,carbon_emission,subject,session,channels,n_sessions,dataset,pipeline,paradigm,evaluation,pipeline_category
0,0,0.45,8.375059,60.0,2.5108912,1,session_0,16,1,AlexandreMotorImagery,"EEGNet-8,2",MotorImagery,WithinSession,Deep Learning
1,1,0.35,8.900136,60.0,2.8235571,2,session_0,16,1,AlexandreMotorImagery,"EEGNet-8,2",MotorImagery,WithinSession,Deep Learning
2,2,0.45,10.479826,60.0,0.030621832,3,session_0,16,1,AlexandreMotorImagery,"EEGNet-8,2",MotorImagery,WithinSession,Deep Learning
3,3,0.53333336,10.050369,60.0,3.520175,4,session_0,16,1,AlexandreMotorImagery,"EEGNet-8,2",MotorImagery,WithinSession,Deep Learning
4,4,0.43333334,10.655973,60.0,3.498073,5,session_0,16,1,AlexandreMotorImagery,"EEGNet-8,2",MotorImagery,WithinSession,Deep Learning
5,5,0.36666667,8.876363,60.0,2.2995842,6,session_0,16,1,AlexandreMotorImagery,"EEGNet-8,2",MotorImagery,WithinSession,Deep Learning
6,6,0.6,10.662094,60.0,4.6807504,7,session_0,16,1,AlexandreMotorImagery,"EEGNet-8,2",MotorImagery,WithinSession,Deep Learning
7,7,0.33333334,5.980406,60.0,2.0216517,8,session_0,16,1,AlexandreMotorImagery,"EEGNet-8,2",MotorImagery,WithinSession,Deep Learning
8,8,0.33333334,9.973784,60.0,2.696434,1,session_0,16,1,AlexandreMotorImagery,EEGTCNet,MotorImagery,WithinSession,Deep Learning
9,9,0.33333334,10.091266,60.0,3.0976489,2,session_0,16,1,AlexandreMotorImagery,EEGTCNet,MotorImagery,WithinSession,Deep Learning
10,10,0.35,9.752277,60.0,3.538014,3,session_0,16,1,AlexandreMotorImagery,EEGTCNet,MotorImagery,WithinSession,Deep Learning
11,11,0.38333333,10.031352,60.0,0.023951812,4,session_0,16,1,AlexandreMotorImagery,EEGTCNet,MotorImagery,WithinSession,Deep Learning
12,12,0.33333334,7.642037,60.0,2.4683957,5,session_0,16,1,AlexandreMotorImagery,EEGTCNet,MotorImagery,WithinSession,Deep Learning
13,13,0.33333334,7.9370804,60.0,2.0722497,6,session_0,16,1,AlexandreMotorImagery,EEGTCNet,MotorImagery,WithinSession,Deep Learning
14,14,0.35,7.4885707,60.0,0.023841035,7,session_0,16,1,AlexandreMotorImagery,EEGTCNet,MotorImagery,WithinSession,Deep Learning
15,15,0.31666666,10.728159,60.0,3.6707165,8,session_0,16,1,AlexandreMotorImagery,EEGTCNet,MotorImagery,WithinSession,Deep Learning
16,16,0.33333334,8.589908,60.0,0.019435616,1,session_0,16,1,AlexandreMotorImagery,EEGITNet,MotorImagery,WithinSession,Deep Learning
17,17,0.33333334,8.3139105,60.0,2.6693656,2,session_0,16,1,AlexandreMotorImagery,EEGITNet,MotorImagery,WithinSession,Deep Learning
18,18,0.43333334,9.704627,60.0,0.025726538,3,session_0,16,1,AlexandreMotorImagery,EEGITNet,MotorImagery,WithinSession,Deep Learning
19,19,0.33333334,8.795263,60.0,2.8297746,4,session_0,16,1,AlexandreMotorImagery,EEGITNet,MotorImagery,WithinSession,Deep Learning
20,20,0.33333334,10.015692,60.0,3.243916,5,session_0,16,1,AlexandreMotorImagery,EEGITNet,MotorImagery,WithinSession,Deep Learning
21,21,0.38333333,9.607897,60.0,0.02006754,6,session_0,16,1,AlexandreMotorImagery,EEGITNet,MotorImagery,WithinSession,Deep Learning
22,22,0.38333333,11.417215,60.0,0.04095246,7,session_0,16,1,AlexandreMotorImagery,EEGITNet,MotorImagery,WithinSession,Deep Learning
23,23,0.35,9.361698,60.0,0.023454467,8,session_0,16,1,AlexandreMotorImagery,EEGITNet,MotorImagery,WithinSession,Deep Learning
