Unnamed: 0,score,time,samples,carbon_emission,subject,session,channels,n_sessions,dataset,pipeline,pipelineDataset,paradigm,evaluation,pipeline_category,ITR
0,0.82,15.981805,100.0,0.11413339,1,session_1,62,2,Lee2019-SSVEP,SSVEP_MDM,Lee2019-SSVEP||SSVEP_MDM,SSVEP,WithinSession,Riemannian,62.0777822485147
1,0.6,15.64085,100.0,0.11169817,1,session_2,62,2,Lee2019-SSVEP,SSVEP_MDM,Lee2019-SSVEP||SSVEP_MDM,SSVEP,WithinSession,Riemannian,23.703864315412115
2,0.8,14.628249,100.0,0.10446713,2,session_1,62,2,Lee2019-SSVEP,SSVEP_MDM,Lee2019-SSVEP||SSVEP_MDM,SSVEP,WithinSession,Riemannian,57.664764298104394
3,0.59,14.293268,100.0,0.10207472,2,session_2,62,2,Lee2019-SSVEP,SSVEP_MDM,Lee2019-SSVEP||SSVEP_MDM,SSVEP,WithinSession,Riemannian,22.419894356790124
4,0.62,17.315386,100.0,0.12365736,3,session_1,62,2,Lee2019-SSVEP,SSVEP_MDM,Lee2019-SSVEP||SSVEP_MDM,SSVEP,WithinSession,Riemannian,26.38033364997967
5,0.74,17.527485,100.0,0.12517236,3,session_2,62,2,Lee2019-SSVEP,SSVEP_MDM,Lee2019-SSVEP||SSVEP_MDM,SSVEP,WithinSession,Riemannian,45.66980263919289
6,0.98,17.370697,100.0,0.12405243,4,session_1,62,2,Lee2019-SSVEP,SSVEP_MDM,Lee2019-SSVEP||SSVEP_MDM,SSVEP,WithinSession,Riemannian,109.61161244662537
7,1.0,16.490927,100.0,0.11776937,4,session_2,62,2,Lee2019-SSVEP,SSVEP_MDM,Lee2019-SSVEP||SSVEP_MDM,SSVEP,WithinSession,Riemannian,120.0
8,0.25,26.639841,100.0,0.19024909,5,session_1,62,2,Lee2019-SSVEP,SSVEP_MDM,Lee2019-SSVEP||SSVEP_MDM,SSVEP,WithinSession,Riemannian,0.0
9,0.72,18.639711,100.0,0.13311473,5,session_2,62,2,Lee2019-SSVEP,SSVEP_MDM,Lee2019-SSVEP||SSVEP_MDM,SSVEP,WithinSession,Riemannian,42.045581354276734
10,0.91,16.258396,100.0,0.11610851,6,session_1,62,2,Lee2019-SSVEP,SSVEP_MDM,Lee2019-SSVEP||SSVEP_MDM,SSVEP,WithinSession,Riemannian,85.25301347225958
11,0.8,16.28228,100.0,0.116279185,6,session_2,62,2,Lee2019-SSVEP,SSVEP_MDM,Lee2019-SSVEP||SSVEP_MDM,SSVEP,WithinSession,Riemannian,57.664764298104394
12,0.99,15.094016,100.0,0.10778262,7,session_1,62,2,Lee2019-SSVEP,SSVEP_MDM,Lee2019-SSVEP||SSVEP_MDM,SSVEP,WithinSession,Riemannian,114.20143434581263
13,0.99,14.71559,100.0,0.10509101,7,session_2,62,2,Lee2019-SSVEP,SSVEP_MDM,Lee2019-SSVEP||SSVEP_MDM,SSVEP,WithinSession,Riemannian,114.20143434581263
14,0.57,14.422274,100.0,0.102996014,8,session_1,62,2,Lee2019-SSVEP,SSVEP_MDM,Lee2019-SSVEP||SSVEP_MDM,SSVEP,WithinSession,Riemannian,19.959065250658963
15,0.73,12.995511,100.0,0.0928063,8,session_2,62,2,Lee2019-SSVEP,SSVEP_MDM,Lee2019-SSVEP||SSVEP_MDM,SSVEP,WithinSession,Riemannian,43.83572931582673
16,0.61,18.035685,100.0,0.12880097,9,session_1,62,2,Lee2019-SSVEP,SSVEP_MDM,Lee2019-SSVEP||SSVEP_MDM,SSVEP,WithinSession,Riemannian,25.02390457281971
17,0.56,14.655023,100.0,0.10465825,9,session_2,62,2,Lee2019-SSVEP,SSVEP_MDM,Lee2019-SSVEP||SSVEP_MDM,SSVEP,WithinSession,Riemannian,18.78173870763814
18,0.61,14.32575,100.0,0.10230652,10,session_1,62,2,Lee2019-SSVEP,SSVEP_MDM,Lee2019-SSVEP||SSVEP_MDM,SSVEP,WithinSession,Riemannian,25.02390457281971
19,0.58,14.491012,100.0,0.103487,10,session_2,62,2,Lee2019-SSVEP,SSVEP_MDM,Lee2019-SSVEP||SSVEP_MDM,SSVEP,WithinSession,Riemannian,21.171711279807646
20,0.81,15.32939,100.0,0.10947356,11,session_1,62,2,Lee2019-SSVEP,SSVEP_MDM,Lee2019-SSVEP||SSVEP_MDM,SSVEP,WithinSession,Riemannian,59.84313989874499
21,0.75,15.31911,100.0,0.10940034,11,session_2,62,2,Lee2019-SSVEP,SSVEP_MDM,Lee2019-SSVEP||SSVEP_MDM,SSVEP,WithinSession,Riemannian,47.548875021634686
22,0.99,15.372316,100.0,0.10977473,12,session_1,62,2,Lee2019-SSVEP,SSVEP_MDM,Lee2019-SSVEP||SSVEP_MDM,SSVEP,WithinSession,Riemannian,114.20143434581263
23,0.86,14.977196,100.0,0.10695334,12,session_2,62,2,Lee2019-SSVEP,SSVEP_MDM,Lee2019-SSVEP||SSVEP_MDM,SSVEP,WithinSession,Riemannian,71.63198629537094
24,0.77,14.901274,100.0,0.10641507,13,session_1,62,2,Lee2019-SSVEP,SSVEP_MDM,Lee2019-SSVEP||SSVEP_MDM,SSVEP,WithinSession,Riemannian,51.44683927725579
25,0.65,15.627471,100.0,0.11160283,13,session_2,62,2,Lee2019-SSVEP,SSVEP_MDM,Lee2019-SSVEP||SSVEP_MDM,SSVEP,WithinSession,Riemannian,30.67170416232626
26,0.67,17.28482,100.0,0.123439245,14,session_1,62,2,Lee2019-SSVEP,SSVEP_MDM,Lee2019-SSVEP||SSVEP_MDM,SSVEP,WithinSession,Riemannian,33.72216011893746
27,0.41,22.949528,100.0,0.16389404,14,session_2,62,2,Lee2019-SSVEP,SSVEP_MDM,Lee2019-SSVEP||SSVEP_MDM,SSVEP,WithinSession,Riemannian,5.302299349001642
28,0.97,15.794225,100.0,0.11279356,15,session_1,62,2,Lee2019-SSVEP,SSVEP_MDM,Lee2019-SSVEP||SSVEP_MDM,SSVEP,WithinSession,Riemannian,105.48355602880734
29,0.91,13.977007,100.0,0.09981592,15,session_2,62,2,Lee2019-SSVEP,SSVEP_MDM,Lee2019-SSVEP||SSVEP_MDM,SSVEP,WithinSession,Riemannian,85.25301347225958
30,0.9,13.472376,100.0,0.096212074,16,session_1,62,2,Lee2019-SSVEP,SSVEP_MDM,Lee2019-SSVEP||SSVEP_MDM,SSVEP,WithinSession,Riemannian,82.35048938031619
31,0.88,15.132905,100.0,0.108070515,16,session_2,62,2,Lee2019-SSVEP,SSVEP_MDM,Lee2019-SSVEP||SSVEP_MDM,SSVEP,WithinSession,Riemannian,76.82661807756583
32,0.85,15.349084,100.0,0.10961436,17,session_1,62,2,Lee2019-SSVEP,SSVEP_MDM,Lee2019-SSVEP||SSVEP_MDM,SSVEP,WithinSession,Riemannian,69.14491921052557
33,0.76,15.840188,100.0,0.11312182,17,session_2,62,2,Lee2019-SSVEP,SSVEP_MDM,Lee2019-SSVEP||SSVEP_MDM,SSVEP,WithinSession,Riemannian,49.47412322654402
34,0.97,16.11233,100.0,0.11506633,18,session_1,62,2,Lee2019-SSVEP,SSVEP_MDM,Lee2019-SSVEP||SSVEP_MDM,SSVEP,WithinSession,Riemannian,105.48355602880734
35,1.0,15.569678,100.0,0.111189805,18,session_2,62,2,Lee2019-SSVEP,SSVEP_MDM,Lee2019-SSVEP||SSVEP_MDM,SSVEP,WithinSession,Riemannian,120.0
36,0.73,16.219685,100.0,0.11583219,19,session_1,62,2,Lee2019-SSVEP,SSVEP_MDM,Lee2019-SSVEP||SSVEP_MDM,SSVEP,WithinSession,Riemannian,43.83572931582673
37,0.67,15.744143,100.0,0.11243594,19,session_2,62,2,Lee2019-SSVEP,SSVEP_MDM,Lee2019-SSVEP||SSVEP_MDM,SSVEP,WithinSession,Riemannian,33.72216011893746
38,0.61,21.41657,100.0,0.152946,20,session_1,62,2,Lee2019-SSVEP,SSVEP_MDM,Lee2019-SSVEP||SSVEP_MDM,SSVEP,WithinSession,Riemannian,25.02390457281971
39,0.54,14.451253,100.0,0.10320301,20,session_2,62,2,Lee2019-SSVEP,SSVEP_MDM,Lee2019-SSVEP||SSVEP_MDM,SSVEP,WithinSession,Riemannian,16.53232865088254
40,0.87,15.125222,100.0,0.10801161,21,session_1,62,2,Lee2019-SSVEP,SSVEP_MDM,Lee2019-SSVEP||SSVEP_MDM,SSVEP,WithinSession,Riemannian,74.19100139269564
41,0.97,15.05252,100.0,0.107488774,21,session_2,62,2,Lee2019-SSVEP,SSVEP_MDM,Lee2019-SSVEP||SSVEP_MDM,SSVEP,WithinSession,Riemannian,105.48355602880734
42,0.66,14.535818,100.0,0.10380018,22,session_1,62,2,Lee2019-SSVEP,SSVEP_MDM,Lee2019-SSVEP||SSVEP_MDM,SSVEP,WithinSession,Riemannian,32.17764268690662
43,0.46,14.977752,100.0,0.10696311,22,session_2,62,2,Lee2019-SSVEP,SSVEP_MDM,Lee2019-SSVEP||SSVEP_MDM,SSVEP,WithinSession,Riemannian,8.924508647421
