,score,time,samples,carbon_emission,subject,session,channels,n_sessions,dataset,pipeline,paradigm,evaluation,pipeline_category
0,0.9450932,0.6313892,576.0,0.0030853078,1,session_0,16,3,BNCI2014-009,XDAWNCov + MDM,P300,WithinSession,Riemannian
1,0.9569682,0.27124825,576.0,0.0013026341,1,session_1,16,3,BNCI2014-009,XDAWNCov + MDM,P300,WithinSession,Riemannian
2,0.9604167,0.30522308,576.0,0.0014890461,1,session_2,16,3,BNCI2014-009,XDAWNCov + MDM,P300,WithinSession,Riemannian
3,0.95623356,0.32847938,576.0,0.0016055524,2,session_0,16,3,BNCI2014-009,XDAWNCov + MDM,P300,WithinSession,Riemannian
4,0.96612936,0.29044813,576.0,0.0014274266,2,session_1,16,3,BNCI2014-009,XDAWNCov + MDM,P300,WithinSession,Riemannian
5,0.9637774,0.2711986,576.0,0.0013072855,2,session_2,16,3,BNCI2014-009,XDAWNCov + MDM,P300,WithinSession,Riemannian
6,0.75294405,0.24436077,576.0,0.0012150876,3,session_0,16,3,BNCI2014-009,XDAWNCov + MDM,P300,WithinSession,Riemannian
7,0.9282895,0.21498366,576.0,0.0010435318,3,session_1,16,3,BNCI2014-009,XDAWNCov + MDM,P300,WithinSession,Riemannian
8,0.9502412,0.30056238,576.0,0.0014561688,3,session_2,16,3,BNCI2014-009,XDAWNCov + MDM,P300,WithinSession,Riemannian
9,0.95929825,0.27554554,576.0,0.0013240414,4,session_0,16,3,BNCI2014-009,XDAWNCov + MDM,P300,WithinSession,Riemannian
10,0.95476425,0.31418332,576.0,0.0015207697,4,session_1,16,3,BNCI2014-009,XDAWNCov + MDM,P300,WithinSession,Riemannian
11,0.9154112,0.2541588,576.0,0.0012259112,4,session_2,16,3,BNCI2014-009,XDAWNCov + MDM,P300,WithinSession,Riemannian
12,0.97274673,0.36757502,576.0,0.0017873984,5,session_0,16,3,BNCI2014-009,XDAWNCov + MDM,P300,WithinSession,Riemannian
13,0.94927084,0.33497062,576.0,0.0016478383,5,session_1,16,3,BNCI2014-009,XDAWNCov + MDM,P300,WithinSession,Riemannian
14,0.9552029,0.31254464,576.0,0.001514733,5,session_2,16,3,BNCI2014-009,XDAWNCov + MDM,P300,WithinSession,Riemannian
15,0.89901865,0.23943944,576.0,0.0011616608,6,session_0,16,3,BNCI2014-009,XDAWNCov + MDM,P300,WithinSession,Riemannian
16,0.9086732,0.2759162,576.0,0.0013234876,6,session_1,16,3,BNCI2014-009,XDAWNCov + MDM,P300,WithinSession,Riemannian
17,0.92547697,0.30390567,576.0,0.0014726098,6,session_2,16,3,BNCI2014-009,XDAWNCov + MDM,P300,WithinSession,Riemannian
18,0.9153673,0.2775612,576.0,0.0013282937,7,session_0,16,3,BNCI2014-009,XDAWNCov + MDM,P300,WithinSession,Riemannian
19,0.9166557,0.3305417,576.0,0.0016096082,7,session_1,16,3,BNCI2014-009,XDAWNCov + MDM,P300,WithinSession,Riemannian
20,0.7816228,0.37699032,576.0,0.0018283693,7,session_2,16,3,BNCI2014-009,XDAWNCov + MDM,P300,WithinSession,Riemannian
21,0.90503836,0.32434195,576.0,0.0015704804,8,session_0,16,3,BNCI2014-009,XDAWNCov + MDM,P300,WithinSession,Riemannian
22,0.8925713,0.32497758,576.0,0.0015822729,8,session_1,16,3,BNCI2014-009,XDAWNCov + MDM,P300,WithinSession,Riemannian
23,0.8499726,0.33055934,576.0,0.0016126335,8,session_2,16,3,BNCI2014-009,XDAWNCov + MDM,P300,WithinSession,Riemannian
24,0.9211623,0.2495502,576.0,0.0012234161,9,session_0,16,3,BNCI2014-009,XDAWNCov + MDM,P300,WithinSession,Riemannian
25,0.9232456,0.26801038,576.0,0.0013017358,9,session_1,16,3,BNCI2014-009,XDAWNCov + MDM,P300,WithinSession,Riemannian
26,0.7583991,0.3440826,576.0,0.0016699074,9,session_2,16,3,BNCI2014-009,XDAWNCov + MDM,P300,WithinSession,Riemannian
27,0.98364586,0.30272022,576.0,0.0014621236,10,session_0,16,3,BNCI2014-009,XDAWNCov + MDM,P300,WithinSession,Riemannian
28,0.9700877,0.39111575,576.0,0.0018864508,10,session_1,16,3,BNCI2014-009,XDAWNCov + MDM,P300,WithinSession,Riemannian
29,0.97386515,0.32498947,576.0,0.0015641402,10,session_2,16,3,BNCI2014-009,XDAWNCov + MDM,P300,WithinSession,Riemannian
30,0.9049945,2.101507,576.0,0.010365288,1,session_0,16,3,BNCI2014-009,ERPCov + MDM,P300,WithinSession,Riemannian
31,0.94223684,1.1099223,576.0,0.0054604514,1,session_1,16,3,BNCI2014-009,ERPCov + MDM,P300,WithinSession,Riemannian
32,0.9281853,0.99490136,576.0,0.004878986,1,session_2,16,3,BNCI2014-009,ERPCov + MDM,P300,WithinSession,Riemannian
33,0.94797146,1.1097325,576.0,0.0054598395,2,session_0,16,3,BNCI2014-009,ERPCov + MDM,P300,WithinSession,Riemannian
34,0.95501095,1.0777435,576.0,0.005295386,2,session_1,16,3,BNCI2014-009,ERPCov + MDM,P300,WithinSession,Riemannian
35,0.9050164,1.2334954,576.0,0.006072551,2,session_2,16,3,BNCI2014-009,ERPCov + MDM,P300,WithinSession,Riemannian
36,0.7424013,1.2440578,576.0,0.006108936,3,session_0,16,3,BNCI2014-009,ERPCov + MDM,P300,WithinSession,Riemannian
37,0.78102523,1.0851358,576.0,0.0053538075,3,session_1,16,3,BNCI2014-009,ERPCov + MDM,P300,WithinSession,Riemannian
38,0.8372807,1.0180117,576.0,0.005000869,3,session_2,16,3,BNCI2014-009,ERPCov + MDM,P300,WithinSession,Riemannian
39,0.90183663,1.1012845,576.0,0.0054013506,4,session_0,16,3,BNCI2014-009,ERPCov + MDM,P300,WithinSession,Riemannian
40,0.8326864,1.223124,576.0,0.0060381335,4,session_1,16,3,BNCI2014-009,ERPCov + MDM,P300,WithinSession,Riemannian
41,0.74101424,1.2276479,576.0,0.0060328054,4,session_2,16,3,BNCI2014-009,ERPCov + MDM,P300,WithinSession,Riemannian
42,0.88525766,1.2251103,576.0,0.006012278,5,session_0,16,3,BNCI2014-009,ERPCov + MDM,P300,WithinSession,Riemannian
43,0.81151867,1.0577669,576.0,0.0052045467,5,session_1,16,3,BNCI2014-009,ERPCov + MDM,P300,WithinSession,Riemannian
44,0.83288926,1.1783755,576.0,0.00578411,5,session_2,16,3,BNCI2014-009,ERPCov + MDM,P300,WithinSession,Riemannian
