,score,time,samples,subject,session,channels,n_sessions,dataset,pipeline,paradigm,evaluation,imputed,pipeline_category
2188,0.21923077,7.329197,64.0,1,0,8,1,Kalunga2016,EEGITNet,SSVEP,WithinSession,False,Deep Learning
2189,0.13846155,5.240024,64.0,1,0,8,1,Kalunga2016,EEGNeX,SSVEP,WithinSession,False,Deep Learning
"2190,0.2653846,5.155018,64.0,1,0,8,1,Kalunga2016,""EEGNet-8,2"",SSVEP,WithinSession,False,Deep Learning"
2191,0.29871795,3.598739,64.0,1,0,8,1,Kalunga2016,ShallowConvNet,SSVEP,WithinSession,False,Deep Learning
2192,0.28076923,8.325863,64.0,2,0,8,1,Kalunga2016,EEGITNet,SSVEP,WithinSession,False,Deep Learning
2193,0.31153846,11.515432,64.0,2,0,8,1,Kalunga2016,EEGNeX,SSVEP,WithinSession,False,Deep Learning
"2194,0.42179486,8.488324,64.0,2,0,8,1,Kalunga2016,""EEGNet-8,2"",SSVEP,WithinSession,False,Deep Learning"
2195,0.63974357,4.249499,64.0,2,0,8,1,Kalunga2016,ShallowConvNet,SSVEP,WithinSession,False,Deep Learning
2196,0.21923077,7.0064588,64.0,3,0,8,1,Kalunga2016,EEGITNet,SSVEP,WithinSession,False,Deep Learning
2197,0.37307692,10.12789,64.0,3,0,8,1,Kalunga2016,EEGNeX,SSVEP,WithinSession,False,Deep Learning
"2198,0.45384616,7.9187727,64.0,3,0,8,1,Kalunga2016,""EEGNet-8,2"",SSVEP,WithinSession,False,Deep Learning"
2199,0.86025643,9.8536,64.0,3,0,8,1,Kalunga2016,ShallowConvNet,SSVEP,WithinSession,False,Deep Learning
2200,0.3474359,7.9705496,64.0,4,0,8,1,Kalunga2016,EEGITNet,SSVEP,WithinSession,False,Deep Learning
2201,0.30128205,12.510758,64.0,4,0,8,1,Kalunga2016,EEGNeX,SSVEP,WithinSession,False,Deep Learning
"2202,0.64358974,7.712165,64.0,4,0,8,1,Kalunga2016,""EEGNet-8,2"",SSVEP,WithinSession,False,Deep Learning"
2203,0.5307692,5.7552843,64.0,4,0,8,1,Kalunga2016,ShallowConvNet,SSVEP,WithinSession,False,Deep Learning
2204,0.17307693,5.8666325,64.0,5,0,8,1,Kalunga2016,EEGITNet,SSVEP,WithinSession,False,Deep Learning
2205,0.17051283,12.505417,64.0,5,0,8,1,Kalunga2016,EEGNeX,SSVEP,WithinSession,False,Deep Learning
"2206,0.2653846,7.4677725,64.0,5,0,8,1,Kalunga2016,""EEGNet-8,2"",SSVEP,WithinSession,False,Deep Learning"
2207,0.51666665,6.5494046,64.0,5,0,8,1,Kalunga2016,ShallowConvNet,SSVEP,WithinSession,False,Deep Learning
2208,0.25,6.645645,64.0,6,0,8,1,Kalunga2016,EEGITNet,SSVEP,WithinSession,False,Deep Learning
2209,0.29871795,5.595985,64.0,6,0,8,1,Kalunga2016,EEGNeX,SSVEP,WithinSession,False,Deep Learning
"2210,0.43589744,8.310292,64.0,6,0,8,1,Kalunga2016,""EEGNet-8,2"",SSVEP,WithinSession,False,Deep Learning"
2211,0.51282054,6.2190337,64.0,6,0,8,1,Kalunga2016,ShallowConvNet,SSVEP,WithinSession,False,Deep Learning
2212,0.22894737,5.8934975,96.0,7,0,8,1,Kalunga2016,EEGITNet,SSVEP,WithinSession,False,Deep Learning
2213,0.27157894,15.776635,96.0,7,0,8,1,Kalunga2016,EEGNeX,SSVEP,WithinSession,False,Deep Learning
