,score,time,samples,carbon_emission,subject,session,channels,n_sessions,dataset,pipeline,paradigm,evaluation,pipeline_category
0,0.95265305,18.223162,144.0,0.15829745,1,session_E,22,2,BNCI2014-001,"EEGNet-8,2",LeftRightImagery,WithinSession,Deep Learning
1,0.93462586,17.598145,144.0,0.15189083,1,session_T,22,2,BNCI2014-001,"EEGNet-8,2",LeftRightImagery,WithinSession,Deep Learning
2,0.5696599,13.061643,144.0,0.11313379,2,session_E,22,2,BNCI2014-001,"EEGNet-8,2",LeftRightImagery,WithinSession,Deep Learning
3,0.5470068,11.682998,144.0,0.100459225,2,session_T,22,2,BNCI2014-001,"EEGNet-8,2",LeftRightImagery,WithinSession,Deep Learning
4,0.99904764,19.937027,144.0,0.17349862,3,session_E,22,2,BNCI2014-001,"EEGNet-8,2",LeftRightImagery,WithinSession,Deep Learning
5,0.98727894,15.74327,144.0,0.13684706,3,session_T,22,2,BNCI2014-001,"EEGNet-8,2",LeftRightImagery,WithinSession,Deep Learning
6,0.6814966,12.797785,144.0,0.111010015,4,session_E,22,2,BNCI2014-001,"EEGNet-8,2",LeftRightImagery,WithinSession,Deep Learning
7,0.5620408,10.274546,144.0,0.08875661,4,session_T,22,2,BNCI2014-001,"EEGNet-8,2",LeftRightImagery,WithinSession,Deep Learning
8,0.59537417,10.912377,144.0,0.093714826,5,session_E,22,2,BNCI2014-001,"EEGNet-8,2",LeftRightImagery,WithinSession,Deep Learning
9,0.66986394,14.57581,144.0,0.12074634,5,session_T,22,2,BNCI2014-001,"EEGNet-8,2",LeftRightImagery,WithinSession,Deep Learning
10,0.5954422,10.45273,144.0,0.08651795,6,session_E,22,2,BNCI2014-001,"EEGNet-8,2",LeftRightImagery,WithinSession,Deep Learning
11,0.7667347,14.635249,144.0,0.12140103,6,session_T,22,2,BNCI2014-001,"EEGNet-8,2",LeftRightImagery,WithinSession,Deep Learning
12,0.55884355,9.557412,144.0,0.07890381,7,session_E,22,2,BNCI2014-001,"EEGNet-8,2",LeftRightImagery,WithinSession,Deep Learning
13,0.5147619,12.298953,144.0,0.10196997,7,session_T,22,2,BNCI2014-001,"EEGNet-8,2",LeftRightImagery,WithinSession,Deep Learning
14,0.9942177,19.145025,144.0,0.1585253,8,session_E,22,2,BNCI2014-001,"EEGNet-8,2",LeftRightImagery,WithinSession,Deep Learning
15,0.9961905,17.738276,144.0,0.14666118,8,session_T,22,2,BNCI2014-001,"EEGNet-8,2",LeftRightImagery,WithinSession,Deep Learning
16,0.9746258,14.408258,144.0,0.119430326,9,session_E,22,2,BNCI2014-001,"EEGNet-8,2",LeftRightImagery,WithinSession,Deep Learning
17,0.98761904,19.102478,144.0,0.15810023,9,session_T,22,2,BNCI2014-001,"EEGNet-8,2",LeftRightImagery,WithinSession,Deep Learning
