;Participant;CodeType;ModelType;CnnTrainingAccuracy;CnnTrainingVALAccuracy;CnnTrainingTime;CnnTestTruePositive;CnnTestFalsePositive;CnnTestTrueNegatives;CnnTestFalseNegatives;CnnTestAccuracy;CnnTestSensitivity;CnnTestPrecision;CnnTestFowlkesMallows;ClassWindowResultBestMinLenByITR;ClassWindowResultBestConsecutiveByITR;ClassWindowResultBestAccByITR;ClassWindowResultBestITRByITR;ClassWindowResultBestMinLenByAccuracy;ClassWindowResultBestConsecutiveByAccuracy;ClassWindowResultBestAccByAccuracy;ClassWindowResultBestITRByAccuracy;ClassWindowResultFile
0;0;burst100;Global Norm;0.7942761182785034;0.8011363744735718;158.04148960113525;1091;1259;4561;109;0.8051282051282052;0.9091666666666667;0.4642553191489362;0.6496810455853763;5;20;0.77;63.0;40;50;0.93;59.0;./results/test_norm/user0_Global Norm_burst100.csv
1;0;burst100;Electrode Norm;0.7957070469856262;0.8075757622718811;153.65008163452148;1094;1248;4572;106;0.8071225071225071;0.9116666666666666;0.4671221178479932;0.6525792397132733;5;30;0.82;60.0;40;60;0.92;52.0;./results/test_norm/user0_Electrode Norm_burst100.csv
2;0;burst100;Normed Electrode Norm;0.7992424368858337;0.8034090995788574;146.86184406280518;1084;1339;4481;116;0.7927350427350427;0.9033333333333333;0.4473792818819645;0.6357142581118563;5;20;0.75;58.0;40;60;0.93;54.0;./results/test_norm/user0_Normed Electrode Norm_burst100.csv
3;0;burst100;Temporal Norm;0.7967592477798462;0.8064393997192383;158.24680638313293;1103;1309;4511;97;0.7997150997150997;0.9191666666666667;0.45729684908789386;0.648330178576695;5;30;0.83;63.0;40;50;0.95;63.0;./results/test_norm/user0_Temporal Norm_burst100.csv
4;1;burst100;Global Norm;0.8022727370262146;0.8098484873771667;148.9610013961792;902;1430;4390;298;0.7538461538461538;0.7516666666666667;0.3867924528301887;0.5392021825908088;5;30;0.8;55.0;30;40;0.82;48.0;./results/test_norm/user1_Global Norm_burst100.csv
5;1;burst100;Electrode Norm;0.8053451180458069;0.814393937587738;309.4022607803345;890;1317;4503;310;0.7682336182336182;0.7416666666666667;0.40326234707748077;0.5468877771070877;20;10;0.68;57.0;40;50;0.85;44.0;./results/test_norm/user1_Electrode Norm_burst100.csv
6;1;burst100;Normed Electrode Norm;0.803367018699646;0.8079545497894287;360.57664823532104;864;1704;4116;336;0.7094017094017094;0.72;0.3364485981308411;0.49218186745775755;10;40;0.75;36.0;40;50;0.78;34.0;./results/test_norm/user1_Normed Electrode Norm_burst100.csv
7;1;burst100;Temporal Norm;0.8065235614776611;0.8117424249649048;360.4391164779663;930;1486;4334;270;0.7498575498575498;0.775;0.3849337748344371;0.5461901459168673;10;20;0.78;64.0;40;50;0.85;45.0;./results/test_norm/user1_Temporal Norm_burst100.csv
8;2;burst100;Global Norm;0.7997474670410156;0.7992424368858337;367.5306122303009;1018;1424;4396;182;0.7712250712250712;0.8483333333333334;0.4168714168714169;0.5946813589191431;20;10;0.68;53.0;5;50;0.83;44.0;./results/test_norm/user2_Global Norm_burst100.csv
9;2;burst100;Electrode Norm;0.7986952662467957;0.8049242496490479;302.5563337802887;1021;1415;4405;179;0.7729344729344729;0.8508333333333333;0.4191297208538588;0.5971679307306766;20;10;0.7;57.0;5;60;0.85;45.0;./results/test_norm/user2_Electrode Norm_burst100.csv
10;2;burst100;Normed Electrode Norm;0.7933922410011292;0.7977272868156433;333.55377411842346;1036;1383;4437;164;0.7796296296296297;0.8633333333333333;0.42827614716825135;0.608066668813481;5;50;0.92;62.0;40;40;0.92;60.0;./results/test_norm/user2_Normed Electrode Norm_burst100.csv
11;2;burst100;Temporal Norm;0.7992003560066223;0.801893949508667;252.05897402763367;1030;1392;4428;170;0.7774928774928775;0.8583333333333333;0.42526837324525185;0.6041705225917937;10;20;0.77;58.0;40;40;0.9;56.0;./results/test_norm/user2_Temporal Norm_burst100.csv
12;3;burst100;Global Norm;0.7980219125747681;0.8159090876579285;373.0005798339844;951;1488;4332;249;0.7525641025641026;0.7925;0.3899138991389914;0.5558837693867763;5;50;0.8;43.0;40;40;0.8;40.0;./results/test_norm/user3_Global Norm_burst100.csv
13;3;burst100;Electrode Norm;0.7975168228149414;0.8166666626930237;388.0100555419922;925;1317;4503;275;0.7732193732193732;0.7708333333333334;0.4125780553077609;0.5639405266808423;30;20;0.8;59.0;40;50;0.9;52.0;./results/test_norm/user3_Electrode Norm_burst100.csv
14;3;burst100;Normed Electrode Norm;0.7989057302474976;0.8178030252456665;370.72237157821655;957;1486;4334;243;0.7537037037037037;0.7975;0.3917314776913631;0.5589327808054042;5;50;0.87;53.0;40;50;0.88;49.0;./results/test_norm/user3_Normed Electrode Norm_burst100.csv
