;Participant;CodeType;ModelType;CnnTrainingAccuracy;CnnTrainingVALAccuracy;CnnTrainingTime;CnnTestTruePositive;CnnTestFalsePositive;CnnTestTrueNegatives;CnnTestFalseNegatives;CnnTestAccuracy;CnnTestSensitivity;CnnTestPrecision;CnnTestFowlkesMallows;ClassWindowResultBestMinLenByITR;ClassWindowResultBestConsecutiveByITR;ClassWindowResultBestAccByITR;ClassWindowResultBestITRByITR;ClassWindowResultBestMinLenByAccuracy;ClassWindowResultBestConsecutiveByAccuracy;ClassWindowResultBestAccByAccuracy;ClassWindowResultBestITRByAccuracy;ClassWindowResultFile
0;0;burst100;Global Norm;0.7966330051422119;0.8094696998596191;209.38300442695618;1080;1279;4541;120;0.8007122507122507;0.9;0.4578211106401017;0.6419026402625959;40;50;0.92;57.0;40;50;0.92;57.0;./results/test_norm/user0_Global Norm_burst100.csv
1;0;burst100;Electrode Norm;0.797053873538971;0.801893949508667;185.46050930023193;1080;1386;4434;120;0.7854700854700855;0.9;0.43795620437956206;0.6278220957736402;5;20;0.72;50.0;40;60;0.88;45.0;./results/test_norm/user0_Electrode Norm_burst100.csv
2;0;burst100;Normed Electrode Norm;0.7949073910713196;0.8064393997192383;134.8404598236084;1121;1461;4359;79;0.7806267806267806;0.9341666666666667;0.43415956622773044;0.6368495856828399;5;30;0.83;63.0;40;50;0.92;57.0;./results/test_norm/user0_Normed Electrode Norm_burst100.csv
3;0;burst100;Temporal Norm;0.7966330051422119;0.8079545497894287;137.98315024375916;0;0;5820;1200;0.8290598290598291;0.0;;;0;0;0.0;0.0;5;10;0.25;0.0;./results/test_norm/user0_Temporal Norm_burst100.csv
4;1;burst100;Global Norm;0.806313157081604;0.8128787875175476;135.0574927330017;916;1284;4536;284;0.7766381766381767;0.7633333333333333;0.4163636363636364;0.5637590286853439;20;10;0.7;61.0;10;40;0.85;57.0;./results/test_norm/user1_Global Norm_burst100.csv
5;1;burst100;Electrode Norm;0.807659924030304;0.8147727251052856;141.30200290679932;891;1226;4594;309;0.7813390313390314;0.7425;0.4208786017949929;0.559019106858417;5;30;0.85;67.0;40;50;0.9;53.0;./results/test_norm/user1_Electrode Norm_burst100.csv
6;1;burst100;Normed Electrode Norm;0.8077440857887268;0.8094696998596191;151.32721281051636;854;1258;4562;346;0.7715099715099715;0.7116666666666667;0.4043560606060606;0.5364389338946044;10;40;0.83;51.0;40;50;0.87;48.0;./results/test_norm/user1_Normed Electrode Norm_burst100.csv
7;1;burst100;Temporal Norm;0.8029040694236755;0.8151515126228333;185.30892205238342;0;0;5820;1200;0.8290598290598291;0.0;;;0;0;0.0;0.0;5;10;0.25;0.0;./results/test_norm/user1_Temporal Norm_burst100.csv
8;2;burst100;Global Norm;0.7954124808311462;0.8147727251052856;176.31299829483032;1038;1270;4550;162;0.796011396011396;0.865;0.44974003466204504;0.6237187907885002;5;30;0.88;66.0;40;40;0.92;58.0;./results/test_norm/user2_Global Norm_burst100.csv
9;2;burst100;Electrode Norm;0.7994528412818909;0.8155303001403809;252.60973954200745;1026;1245;4575;174;0.7978632478632479;0.855;0.45178335535006603;0.621510071378016;5;20;0.78;60.0;40;40;0.9;54.0;./results/test_norm/user2_Electrode Norm_burst100.csv
10;2;burst100;Normed Electrode Norm;0.8030303120613098;0.8185606002807617;164.1909999847412;989;1312;4508;211;0.7830484330484331;0.8241666666666667;0.42981312472837896;0.595178670902253;5;50;0.87;50.0;5;50;0.87;50.0;./results/test_norm/user2_Normed Electrode Norm_burst100.csv
11;2;burst100;Temporal Norm;0.8047558665275574;0.8189393877983093;370.74850630760193;0;0;5820;1200;0.8290598290598291;0.0;;;0;0;0.0;0.0;5;10;0.25;0.0;./results/test_norm/user2_Temporal Norm_burst100.csv
12;3;burst100;Global Norm;0.8001262545585632;0.8219696879386902;393.6272211074829;857;1045;4775;343;0.8022792022792022;0.7141666666666666;0.45057833859095686;0.5672636337221948;5;60;0.85;48.0;40;50;0.85;44.0;./results/test_norm/user3_Global Norm_burst100.csv
13;3;burst100;Electrode Norm;0.8018518686294556;0.8185606002807617;434.1664617061615;895;1235;4585;305;0.7806267806267806;0.7458333333333333;0.42018779342723006;0.5598125245095978;5;60;0.85;49.0;40;50;0.87;47.0;./results/test_norm/user3_Electrode Norm_burst100.csv
