;Participant;CodeType;ModelType;CnnTrainingAccuracy;CnnTrainingVALAccuracy;CnnTrainingTime;CnnTestTruePositive;CnnTestFalsePositive;CnnTestTrueNegatives;CnnTestFalseNegatives;CnnTestAccuracy;CnnTestSensitivity;CnnTestPrecision;CnnTestFowlkesMallows;ClassWindowResultBestMinLenByITR;ClassWindowResultBestConsecutiveByITR;ClassWindowResultBestAccByITR;ClassWindowResultBestITRByITR;ClassWindowResultBestMinLenByAccuracy;ClassWindowResultBestConsecutiveByAccuracy;ClassWindowResultBestAccByAccuracy;ClassWindowResultBestITRByAccuracy;ClassWindowResultFile
0;0;burst100;Global Norm;0.7718149423599243;0.7920069098472595;840.3901233673096;8949;12465;36015;1071;0.7686153846153846;0.8931137724550898;0.4179041748388904;0.6109304167538991;40;10;0.88;91.0;40;30;0.97;86.0;./results/test_norm/user0_Global Norm_burst100.csv
1;0;burst100;Electrode Norm;0.7741486430168152;0.790645956993103;986.5370609760284;8871;11531;36949;1149;0.7832478632478632;0.8853293413173653;0.43481031271443976;0.6204436539714727;40;10;0.9;96.0;40;40;0.98;78.0;./results/test_norm/user0_Electrode Norm_burst100.csv
2;0;burst100;Normed Electrode Norm;0.7628732323646545;0.7815278768539429;821.8237164020538;8895;13604;34876;1125;0.7482222222222222;0.8877245508982036;0.3953509044846438;0.5924210530786604;20;10;0.83;102.0;40;50;1.0;78.69730091456614;./results/test_norm/user0_Normed Electrode Norm_burst100.csv
3;0;burst100;Temporal Norm;0.7613258361816406;0.777309000492096;1038.6101331710815;0;0;48480;10020;0.8287179487179487;0.0;;;0;0;0.0;0.0;5;10;0.25;0.0;./results/test_norm/user0_Temporal Norm_burst100.csv
4;1;burst100;Global Norm;0.7813413739204407;0.7935946583747864;858.9081199169159;6705;8574;39906;3315;0.7967692307692308;0.6691616766467066;0.43883762026310624;0.5418978849847182;40;10;0.78;61.0;40;30;0.88;61.0;./results/test_norm/user1_Global Norm_burst100.csv
5;1;burst100;Electrode Norm;0.7811901569366455;0.7941389679908752;911.4784960746765;6324;7579;40901;3696;0.8072649572649573;0.6311377245508982;0.45486585629000936;0.5358012705423275;40;10;0.8;66.0;5;40;0.85;58.0;./results/test_norm/user1_Electrode Norm_burst100.csv
6;1;burst100;Normed Electrode Norm;0.771648645401001;0.7886046171188354;752.4739861488342;7497;15814;32666;2523;0.6865470085470086;0.7482035928143712;0.32160782463214793;0.49053861200417986;5;50;0.85;53.0;40;60;0.87;44.0;./results/test_norm/user1_Normed Electrode Norm_burst100.csv
7;1;burst100;Temporal Norm;0.771683931350708;0.7884231805801392;823.5497236251831;0;0;48480;10020;0.8287179487179487;0.0;;;0;0;0.0;0.0;5;10;0.25;0.0;./results/test_norm/user1_Temporal Norm_burst100.csv
8;2;burst100;Global Norm;0.7728532552719116;0.7878788113594055;801.0254175662994;8624;9391;39089;1396;0.8156068376068376;0.8606786427145708;0.4787121842908687;0.641885778800553;20;10;0.88;124.0;5;60;1.0;84.91021173948003;./results/test_norm/user2_Global Norm_burst100.csv
9;2;burst100;Electrode Norm;0.7720215916633606;0.7881056070327759;745.6798408031464;8690;9732;38748;1330;0.8109059829059829;0.8672654690618763;0.47171859732928023;0.6396133602247444;10;20;0.97;123.0;40;40;1.0;85.25296017222824;./results/test_norm/user2_Electrode Norm_burst100.csv
10;2;burst100;Normed Electrode Norm;0.7626615166664124;0.7844311594963074;1991.132565021515;7646;7743;40737;2374;0.8270598290598291;0.7630738522954091;0.49684839820651117;0.6157369740613649;5;30;0.95;96.0;5;30;0.95;96.0;./results/test_norm/user2_Normed Electrode Norm_burst100.csv
11;2;burst100;Temporal Norm;0.764087975025177;0.783297061920166;853.6432435512543;0;0;48480;10020;0.8287179487179487;0.0;;;0;0;0.0;0.0;5;10;0.25;0.0;./results/test_norm/user2_Temporal Norm_burst100.csv
12;3;burst100;Global Norm;0.782339334487915;0.7906913161277771;832.6498825550079;7053;10158;38322;2967;0.7756410256410257;0.7038922155688623;0.40979606065888097;0.5370775149534484;30;20;0.8;60.0;40;60;0.93;54.0;./results/test_norm/user3_Global Norm_burst100.csv
13;3;burst100;Electrode Norm;0.782379686832428;0.7917346954345703;806.5685377120972;6714;8903;39577;3306;0.7912991452991452;0.670059880239521;0.4299161170519306;0.5367211025335752;5;50;0.88;57.0;5;60;0.9;57.0;./results/test_norm/user3_Electrode Norm_burst100.csv
14;3;burst100;Normed Electrode Norm;0.7717645764350891;0.7871075868606567;745.2129318714142;7633;17045;31435;2387;0.6678290598290598;0.7617764471057884;0.30930383337385525;0.4854074322296026;5;50;0.83;47.0;40;40;0.83;44.0;./results/test_norm/user3_Normed Electrode Norm_burst100.csv
