,Participant,CodeType,ModelType,CnnTrainingAccuracy,CnnTrainingVALAccuracy,CnnTrainingTime,CnnTestTruePositive,CnnTestFalsePositive,CnnTestTrueNegatives,CnnTestFalseNegatives,CnnTestAccuracy,CnnTestSensitivity,CnnTestPrecision,CnnTestFowlkesMallows,ClassWindowResultBestMinLenByITR,ClassWindowResultBestConsecutiveByITR,ClassWindowResultBestAccByITR,ClassWindowResultBestITRByITR,ClassWindowResultBestMinLenByAccuracy,ClassWindowResultBestConsecutiveByAccuracy,ClassWindowResultBestAccByAccuracy,ClassWindowResultBestITRByAccuracy,ClassWindowResultFile
0,0,burst100,Global Norm,0.7736647725105286,0.792279064655304,1073.4307639598846,8968,11887,36593,1052,0.7788205128205128,0.8950099800399202,0.430016782546152,0.6203783619400842,20,10,0.8,95.0,40,30,0.98,88.0,./results/test_norm/user0_Global Norm_burst100.csv
1,0,burst100,Electrode Norm,0.7723089456558228,0.790645956993103,1254.9803879261017,8968,11584,36896,1052,0.784,0.8950099800399202,0.4363565589723628,0.6249347767056517,40,10,0.9,97.0,40,40,0.98,81.0,./results/test_norm/user0_Electrode Norm_burst100.csv
2,0,burst100,Normed Electrode Norm,0.7629438042640686,0.7867447137832642,1009.6388046741486,9082,13921,34559,938,0.746,0.9063872255489022,0.39481806720862495,0.598212380792813,5,20,0.87,95.0,40,30,0.98,87.0,./results/test_norm/user0_Normed Electrode Norm_burst100.csv
3,0,burst100,BaseArchi_XTestNormByXTest,0.7614115476608276,0.7865632176399231,1277.7600045204163,8806,11011,37469,1214,0.791025641025641,0.8788423153692615,0.4443659484281173,0.6249220743323318,40,10,0.88,90.0,40,50,1.0,78.04878048780488,./results/test_norm/user0_BaseArchi_XTestNormByXTest_burst100.csv
4,1,burst100,Global Norm,0.7819814682006836,0.8033478260040283,1383.1289999485016,6666,8719,39761,3354,0.7936239316239316,0.6652694610778443,0.43327916802079947,0.536886765161383,40,10,0.8,65.0,40,30,0.88,61.0,./results/test_norm/user1_Global Norm_burst100.csv
5,1,burst100,Electrode Norm,0.7806357145309448,0.8001723885536194,1417.3924736976624,6574,8405,40075,3446,0.7974188034188034,0.6560878243512974,0.4388811002069564,0.5366046460697912,30,20,0.78,58.0,40,40,0.87,53.0,./results/test_norm/user1_Electrode Norm_burst100.csv
6,1,burst100,Normed Electrode Norm,0.7711294293403625,0.7899201512336731,1335.6689894199371,6206,10334,38146,3814,0.7581538461538462,0.6193612774451098,0.37521160822249094,0.4820700581667732,40,10,0.72,48.0,30,40,0.78,42.0,./results/test_norm/user1_Normed Electrode Norm_burst100.csv
7,1,burst100,BaseArchi_XTestNormByXTest,0.7701919674873352,0.7900562286376953,1380.5884070396423,6818,10406,38074,3202,0.7673846153846153,0.680439121756487,0.39584300975383185,0.5189865797015775,20,20,0.73,52.0,40,40,0.82,44.0,./results/test_norm/user1_BaseArchi_XTestNormByXTest_burst100.csv
8,2,burst100,Global Norm,0.7730901837348938,0.7881056070327759,1231.619368314743,8626,9464,39016,1394,0.8143931623931624,0.860878243512974,0.47683803206191266,0.6407023392197367,20,10,0.88,120.0,40,50,0.97,69.0,./results/test_norm/user2_Global Norm_burst100.csv
9,2,burst100,Electrode Norm,0.7755297422409058,0.7897387146949768,1256.7619321346283,8709,9709,38771,1311,0.8116239316239316,0.8691616766467066,0.47285264415245953,0.641081427744074,20,10,0.9,131.0,40,40,0.98,79.0,./results/test_norm/user2_Electrode Norm_burst100.csv
10,2,burst100,Normed Electrode Norm,0.7637906074523926,0.7788967490196228,985.6885664463043,8349,9562,38918,1671,0.807982905982906,0.8332335329341317,0.46613812740773825,0.6232189974120255,20,10,0.83,97.0,40,50,0.97,68.0,./results/test_norm/user2_Normed Electrode Norm_burst100.csv
11,2,burst100,BaseArchi_XTestNormByXTest,0.7631353735923767,0.7817093133926392,816.814026594162,8563,11107,37373,1457,0.7852307692307692,0.8545908183632734,0.4353329944077275,0.6099439154147159,5,30,0.97,95.0,40,40,1.0,84.59105286940806,./results/test_norm/user2_BaseArchi_XTestNormByXTest_burst100.csv
12,3,burst100,Global Norm,0.7791840434074402,0.7913264632225037,981.5926413536072,7113,10673,37807,2907,0.7678632478632479,0.7098802395209581,0.39992128640503766,0.5328191237021601,5,60,0.93,64.0,40,60,0.95,58.0,./results/test_norm/user3_Global Norm_burst100.csv
13,3,burst100,Electrode Norm,0.7815278768539429,0.7946379780769348,946.0328230857849,7096,10239,38241,2924,0.774991452991453,0.7081836327345309,0.4093452552639169,0.5384158336411036,40,30,0.88,59.0,40,60,0.9,49.0,./results/test_norm/user3_Electrode Norm_burst100.csv
14,3,burst100,Normed Electrode Norm,0.7721627354621887,0.7891489863395691,1291.6724820137024,7521,13224,35256,2499,0.7312307692307692,0.7505988023952096,0.36254519161243676,0.5216569626089896,5,50,0.87,55.0,40,40,0.88,53.0,./results/test_norm/user3_Normed Electrode Norm_burst100.csv
15,3,burst100,BaseArchi_XTestNormByXTest,0.7703431248664856,0.7861096262931824,1375.1779356002808,7644,13722,34758,2376,0.7248205128205129,0.7628742514970059,0.35776467284470653,0.5224265087153185,5,60,0.9,57.0,40,50,0.9,51.0,./results/test_norm/user3_BaseArchi_XTestNormByXTest_burst100.csv
16,4,burst100,Global Norm,0.779108464717865,0.7963164448738098,958.7483212947845,7918,13384,35096,2102,0.7352820512820513,0.7902195608782435,0.3717021875880199,0.5419652566846768,20,10,0.78,90.0,40,50,0.97,68.0,./results/test_norm/user4_Global Norm_burst100.csv
17,4,burst100,Electrode Norm,0.7794259786605835,0.798992931842804,1056.3278315067291,7821,13119,35361,2199,0.7381538461538462,0.7805389221556887,0.3734957020057307,0.5399332668703932,20,10,0.78,86.0,40,50,0.95,64.0,./results/test_norm/user4_Electrode Norm_burst100.csv
18,4,burst100,Normed Electrode Norm,0.7694358825683594,0.7895572781562805,1264.516381263733,7540,13225,35255,2480,0.7315384615384616,0.7524950099800399,0.36311100409342645,0.522722888966176,30,20,0.88,81.0,40,30,0.92,72.0,./results/test_norm/user4_Normed Electrode Norm_burst100.csv
19,4,burst100,BaseArchi_XTestNormByXTest,0.7697886824607849,0.7886499762535095,890.6362390518188,7531,14552,33928,2489,0.7087008547008548,0.7515968063872256,0.34103156274056967,0.5062788099783132,20,10,0.75,73.0,20,40,0.92,72.0,./results/test_norm/user4_BaseArchi_XTestNormByXTest_burst100.csv
20,5,burst100,Global Norm,0.7885038256645203,0.7992197275161743,1375.6779654026031,6505,12168,36312,3515,0.7319145299145299,0.6492015968063872,0.34836394794623254,0.4755611751146968,20,10,0.78,91.0,40,50,0.9,54.0,./results/test_norm/user5_Global Norm_burst100.csv
