,score,time,samples,carbon_emission,subject,session,channels,n_sessions,dataset,pipeline,paradigm,evaluation,pipeline_category
0,0.82,15.981805,100.0,0.11413339,1,session_1,62,2,Lee2019-SSVEP,SSVEP_MDM,SSVEP,WithinSession,Riemannian
1,0.6,15.64085,100.0,0.11169817,1,session_2,62,2,Lee2019-SSVEP,SSVEP_MDM,SSVEP,WithinSession,Riemannian
2,0.8,14.628249,100.0,0.10446713,2,session_1,62,2,Lee2019-SSVEP,SSVEP_MDM,SSVEP,WithinSession,Riemannian
3,0.59,14.293268,100.0,0.10207472,2,session_2,62,2,Lee2019-SSVEP,SSVEP_MDM,SSVEP,WithinSession,Riemannian
4,0.62,17.315386,100.0,0.12365736,3,session_1,62,2,Lee2019-SSVEP,SSVEP_MDM,SSVEP,WithinSession,Riemannian
5,0.74,17.527485,100.0,0.12517236,3,session_2,62,2,Lee2019-SSVEP,SSVEP_MDM,SSVEP,WithinSession,Riemannian
6,0.98,17.370697,100.0,0.12405243,4,session_1,62,2,Lee2019-SSVEP,SSVEP_MDM,SSVEP,WithinSession,Riemannian
7,1.0,16.490927,100.0,0.11776937,4,session_2,62,2,Lee2019-SSVEP,SSVEP_MDM,SSVEP,WithinSession,Riemannian
8,0.25,26.639841,100.0,0.19024909,5,session_1,62,2,Lee2019-SSVEP,SSVEP_MDM,SSVEP,WithinSession,Riemannian
9,0.72,18.639711,100.0,0.13311473,5,session_2,62,2,Lee2019-SSVEP,SSVEP_MDM,SSVEP,WithinSession,Riemannian
10,0.91,16.258396,100.0,0.11610851,6,session_1,62,2,Lee2019-SSVEP,SSVEP_MDM,SSVEP,WithinSession,Riemannian
11,0.8,16.28228,100.0,0.116279185,6,session_2,62,2,Lee2019-SSVEP,SSVEP_MDM,SSVEP,WithinSession,Riemannian
12,0.99,15.094016,100.0,0.10778262,7,session_1,62,2,Lee2019-SSVEP,SSVEP_MDM,SSVEP,WithinSession,Riemannian
13,0.99,14.71559,100.0,0.10509101,7,session_2,62,2,Lee2019-SSVEP,SSVEP_MDM,SSVEP,WithinSession,Riemannian
14,0.57,14.422274,100.0,0.102996014,8,session_1,62,2,Lee2019-SSVEP,SSVEP_MDM,SSVEP,WithinSession,Riemannian
15,0.73,12.995511,100.0,0.0928063,8,session_2,62,2,Lee2019-SSVEP,SSVEP_MDM,SSVEP,WithinSession,Riemannian
16,0.61,18.035685,100.0,0.12880097,9,session_1,62,2,Lee2019-SSVEP,SSVEP_MDM,SSVEP,WithinSession,Riemannian
