,0,1,2,3,4,5,6,7,8,9,10,11
0,0.95,0.84,0.93,0.91,0.98,1.0,0.45,0.98,0.89,0.98,0.89,0.61
1,0.95,0.84,0.95,0.89,0.98,1.0,0.52,0.95,0.86,0.98,0.86,0.64
2,0.98,0.86,0.91,0.91,0.98,1.0,0.64,0.93,0.84,1.0,0.86,0.68
3,1.0,0.84,0.95,0.93,0.98,1.0,0.5,0.95,0.82,1.0,0.89,0.75
4,0.93,0.86,0.91,0.91,0.95,1.0,0.45,0.95,0.89,0.98,0.86,0.82
5,0.95,0.84,0.95,0.91,0.98,1.0,0.52,0.95,0.89,0.98,0.89,0.7
6,0.98,0.84,0.91,0.93,0.95,1.0,0.5,0.98,0.82,0.98,0.86,0.75
7,1.0,0.86,0.91,0.89,0.98,0.98,0.59,0.98,0.84,1.0,0.91,0.73
8,0.98,0.84,0.95,0.89,0.93,0.98,0.48,0.98,0.86,0.98,0.89,0.7
9,0.95,0.89,0.95,0.91,0.98,1.0,0.57,0.98,0.89,1.0,0.89,0.82
