,0,1,2,3,4,5,6,7,8,9,10,11
0,0.86,0.36,0.73,0.68,0.75,0.89,0.43,0.98,0.39,1.0,0.82,0.48
1,0.89,0.5,0.7,0.64,0.68,0.86,0.32,0.98,0.45,0.98,0.84,0.61
2,0.93,0.5,0.7,0.75,0.61,0.98,0.43,0.93,0.5,1.0,0.8,0.48
3,0.91,0.39,0.7,0.7,0.64,0.86,0.32,0.93,0.39,1.0,0.91,0.52
4,0.93,0.48,0.66,0.75,0.7,0.91,0.39,0.98,0.48,1.0,0.84,0.52
5,0.95,0.45,0.75,0.68,0.64,0.86,0.39,0.91,0.48,1.0,0.84,0.48
6,0.91,0.5,0.68,0.61,0.73,0.86,0.55,0.91,0.45,0.98,0.89,0.39
7,0.93,0.5,0.75,0.73,0.59,0.93,0.36,0.91,0.48,1.0,0.84,0.48
8,0.84,0.52,0.73,0.75,0.66,0.91,0.34,0.89,0.41,1.0,0.82,0.48
9,0.91,0.41,0.61,0.68,0.68,0.95,0.39,0.95,0.43,0.98,0.86,0.57
