,0,1,2,3,4,5,6,7,8,9,10,11
0,1.0,0.88,0.97,0.85,0.95,0.98,0.52,0.97,0.82,1.0,0.85,0.68
1,0.93,0.85,0.93,0.85,0.97,0.98,0.52,0.95,0.88,0.98,0.83,0.78
2,0.95,0.83,0.93,0.87,0.97,0.98,0.52,0.92,0.88,1.0,0.9,0.67
3,0.97,0.85,0.95,0.88,0.95,0.97,0.55,0.97,0.83,0.97,0.85,0.72
4,0.97,0.88,0.92,0.87,0.97,1.0,0.57,0.95,0.88,0.98,0.85,0.77
5,0.97,0.85,0.95,0.88,0.98,0.98,0.43,0.93,0.88,0.98,0.83,0.73
6,0.95,0.83,0.93,0.87,0.95,0.98,0.48,0.98,0.85,0.98,0.87,0.78
7,0.95,0.85,0.93,0.83,1.0,0.98,0.4,0.97,0.88,1.0,0.82,0.73
8,0.97,0.85,0.95,0.9,0.95,0.98,0.47,0.95,0.9,1.0,0.85,0.73
9,0.98,0.87,0.97,0.9,0.98,0.98,0.52,0.95,0.9,1.0,0.88,0.7
