,0,1,2,3,4,5,6,7,8,9,10,11
0,0.87,0.4,0.63,0.7,0.63,0.88,0.37,0.88,0.45,0.98,0.88,0.5
1,0.87,0.43,0.65,0.75,0.62,0.9,0.27,0.95,0.45,1.0,0.9,0.47
2,0.8,0.48,0.62,0.68,0.67,0.87,0.37,0.9,0.5,0.97,0.82,0.5
3,0.93,0.42,0.75,0.7,0.68,0.88,0.37,0.97,0.53,0.97,0.87,0.6
4,0.88,0.48,0.65,0.65,0.7,0.8,0.37,0.93,0.52,1.0,0.78,0.55
5,0.9,0.43,0.75,0.65,0.63,0.9,0.35,0.97,0.53,1.0,0.82,0.53
6,0.9,0.5,0.63,0.73,0.73,0.87,0.32,0.9,0.43,1.0,0.88,0.52
7,0.9,0.4,0.65,0.72,0.68,0.85,0.4,0.97,0.52,0.98,0.87,0.52
8,0.9,0.52,0.68,0.72,0.7,0.85,0.4,0.93,0.52,0.97,0.85,0.55
9,0.92,0.47,0.65,0.62,0.68,0.9,0.45,0.95,0.47,1.0,0.85,0.5
