,0,1,2,3,4,5,6,7,8,9,10,11
0,0.84,0.78,0.91,0.84,0.94,0.97,0.91,0.97,0.53,1.0,0.84,0.56
1,0.88,0.62,0.94,0.84,1.0,1.0,0.97,0.97,0.59,1.0,0.97,0.53
2,0.97,0.91,0.84,0.88,0.97,0.97,0.97,0.97,0.56,1.0,0.88,0.41
3,0.94,0.84,0.91,0.84,1.0,0.97,0.91,0.41,0.72,1.0,0.91,0.56
4,0.94,0.5,0.94,0.88,0.94,0.97,1.0,0.94,0.59,1.0,0.88,0.41
5,0.97,0.81,0.88,0.81,1.0,1.0,0.94,1.0,0.41,1.0,0.88,0.44
6,0.84,0.75,0.91,0.88,1.0,1.0,1.0,1.0,0.59,1.0,0.88,0.44
7,0.97,0.62,0.91,0.84,0.97,0.97,0.94,0.62,0.44,1.0,0.91,0.5
8,0.97,0.88,0.88,0.91,1.0,0.97,0.91,0.81,0.59,1.0,0.88,0.5
9,0.91,0.72,0.84,0.72,1.0,0.97,0.97,0.38,0.72,1.0,0.94,0.47
