,0,1,2,3,4,5,6,7,8,9,10,11
0,0.41,0.31,0.31,0.31,0.31,0.59,0.19,0.34,0.16,0.41,0.38,0.31
1,0.25,0.28,0.41,0.28,0.34,0.34,0.28,0.44,0.28,0.69,0.41,0.38
2,0.31,0.22,0.31,0.34,0.34,0.28,0.19,0.28,0.28,0.41,0.53,0.22
3,0.44,0.25,0.34,0.19,0.16,0.38,0.41,0.44,0.28,0.28,0.31,0.22
4,0.16,0.12,0.31,0.34,0.22,0.31,0.34,0.22,0.06,0.25,0.34,0.19
5,0.22,0.19,0.22,0.22,0.34,0.41,0.31,0.22,0.22,0.34,0.28,0.22
6,0.31,0.31,0.38,0.34,0.22,0.5,0.22,0.31,0.09,0.31,0.25,0.31
7,0.16,0.44,0.19,0.22,0.28,0.34,0.28,0.41,0.19,0.44,0.41,0.12
8,0.28,0.19,0.28,0.22,0.25,0.25,0.34,0.25,0.28,0.5,0.31,0.19
9,0.34,0.28,0.22,0.22,0.19,0.5,0.38,0.34,0.47,0.34,0.22,0.22
