,0,1,2,3,4,5,6,7,8,9,10,11
0,0.95,0.91,0.95,0.93,1.0,1.0,0.59,1.0,0.91,1.0,0.91,0.82
1,0.98,0.91,0.93,0.91,0.98,1.0,0.64,0.98,0.93,1.0,0.84,0.8
2,1.0,0.89,0.95,0.91,0.95,1.0,0.73,0.95,0.93,1.0,0.89,0.82
3,0.98,0.89,0.95,0.93,0.98,1.0,0.61,0.98,0.86,1.0,0.91,0.77
4,0.98,0.86,0.93,0.93,1.0,1.0,0.61,1.0,0.91,1.0,0.86,0.75
5,0.98,0.91,0.93,0.91,1.0,1.0,0.64,1.0,0.91,1.0,0.86,0.73
6,0.98,0.93,0.95,0.91,1.0,1.0,0.59,0.98,0.91,1.0,0.89,0.82
7,0.98,0.93,0.93,0.89,0.98,1.0,0.68,0.98,0.89,1.0,0.89,0.8
8,0.95,0.89,0.95,0.89,0.98,1.0,0.52,0.98,0.93,1.0,0.86,0.8
9,0.95,0.89,0.98,0.91,0.98,1.0,0.64,0.98,0.93,1.0,0.89,0.82
