,0,1,2,3,4,5,6,7,8,9,10,11
0,0.98,0.87,0.97,0.92,0.97,0.97,0.63,0.98,0.88,1.0,0.88,0.82
1,0.97,0.87,0.97,0.95,0.95,0.97,0.57,0.95,0.9,1.0,0.88,0.8
2,0.95,0.9,0.93,0.92,0.97,0.97,0.57,0.98,0.92,1.0,0.88,0.82
3,0.97,0.92,0.97,0.93,0.92,0.95,0.47,0.97,0.93,1.0,0.9,0.82
4,0.93,0.88,0.95,0.92,0.97,0.98,0.55,0.98,0.9,1.0,0.87,0.8
5,0.95,0.87,0.95,0.93,1.0,0.97,0.53,0.98,0.93,1.0,0.87,0.85
6,0.97,0.88,0.95,0.9,0.97,1.0,0.53,0.98,0.93,1.0,0.85,0.75
7,0.92,0.87,0.97,0.88,0.93,0.97,0.52,0.97,0.9,1.0,0.88,0.82
8,0.98,0.88,0.97,0.93,0.95,0.97,0.55,0.98,0.88,1.0,0.88,0.77
9,0.95,0.88,0.93,0.88,0.97,0.98,0.55,0.95,0.88,1.0,0.85,0.73
