,0,1,2,3,4,5,6,7,8,9,10,11
0,0.94,0.91,0.97,0.94,1.0,0.94,0.97,0.88,0.88,1.0,0.84,0.31
1,0.94,0.84,0.94,0.91,1.0,1.0,0.97,0.59,0.44,1.0,0.94,0.31
2,0.94,0.88,0.97,0.81,1.0,1.0,1.0,0.69,0.78,1.0,0.97,0.53
3,0.91,0.84,0.97,0.94,1.0,1.0,0.94,0.97,0.75,1.0,0.94,0.56
4,0.91,0.78,0.97,0.91,1.0,1.0,0.97,0.66,0.53,1.0,0.91,0.53
5,0.91,0.84,0.97,0.94,0.94,1.0,0.97,0.62,0.47,1.0,0.88,0.62
6,0.88,0.81,0.97,0.91,0.91,0.97,0.97,0.28,0.75,1.0,0.84,0.22
7,0.94,0.88,0.84,0.94,1.0,0.94,1.0,0.38,0.62,1.0,0.78,0.5
8,0.88,0.88,0.97,0.91,1.0,0.97,0.88,0.97,0.72,1.0,0.84,0.38
9,0.88,0.75,0.94,0.97,1.0,0.97,0.88,1.0,0.66,1.0,0.88,0.47
