,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
0,0.76,0.84,0.55,0.89,0.8,0.82,0.89,0.91,0.8,0.8,0.71,0.64,0.71,0.98,0.71,0.98,0.87,0.96,0.07,0.91,0.84,0.45,0.49,0.93
1,0.8,0.78,0.58,0.89,0.89,0.84,0.95,0.87,0.8,0.85,0.75,0.64,0.69,0.96,0.76,0.93,0.84,0.95,0.04,0.95,0.84,0.55,0.58,0.95
2,0.84,0.8,0.58,0.87,0.85,0.84,0.91,0.87,0.78,0.78,0.53,0.65,0.8,0.96,0.76,0.93,0.82,0.89,0.05,0.95,0.87,0.53,0.45,0.95
3,0.8,0.76,0.64,0.87,0.8,0.82,0.85,0.91,0.84,0.8,0.64,0.69,0.73,0.98,0.71,0.96,0.91,0.96,0.07,0.91,0.84,0.53,0.4,0.93
4,0.84,0.82,0.6,0.93,0.85,0.84,0.89,0.93,0.84,0.8,0.69,0.56,0.8,0.98,0.73,0.98,0.87,0.98,0.11,0.93,0.87,0.51,0.53,0.96
5,0.82,0.89,0.64,0.91,0.82,0.84,0.87,0.95,0.69,0.78,0.6,0.67,0.73,0.98,0.75,0.96,0.89,0.95,0.07,0.93,0.93,0.49,0.49,0.93
6,0.84,0.85,0.53,0.87,0.8,0.91,0.91,0.91,0.78,0.8,0.6,0.65,0.71,0.95,0.75,0.98,0.85,0.93,0.04,0.91,0.84,0.51,0.51,0.91
7,0.8,0.76,0.51,0.91,0.84,0.85,0.84,0.84,0.8,0.85,0.71,0.64,0.75,0.98,0.71,0.96,0.85,0.95,0.05,0.87,0.87,0.53,0.38,0.95
8,0.85,0.82,0.65,0.89,0.8,0.82,0.93,0.85,0.78,0.8,0.67,0.58,0.75,1.0,0.76,0.98,0.84,0.96,0.11,0.91,0.91,0.49,0.44,0.95
9,0.84,0.85,0.56,0.89,0.8,0.87,0.89,0.95,0.8,0.87,0.62,0.58,0.75,0.98,0.67,0.96,0.93,0.91,0.13,0.95,0.87,0.6,0.4,0.91
