,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
0,0.84,0.8,0.6,0.95,0.75,0.87,0.88,0.89,0.8,0.83,0.64,0.6,0.71,0.93,0.65,0.93,0.89,0.92,0.08,0.95,0.73,0.43,0.47,0.91
1,0.84,0.81,0.57,0.88,0.75,0.88,0.91,0.93,0.81,0.88,0.67,0.65,0.71,0.96,0.69,0.96,0.84,0.96,0.07,0.97,0.8,0.48,0.59,0.95
2,0.84,0.8,0.63,0.92,0.87,0.84,0.87,0.87,0.83,0.83,0.71,0.63,0.77,0.95,0.67,0.93,0.89,0.89,0.05,0.91,0.79,0.49,0.56,0.95
3,0.79,0.81,0.67,0.83,0.79,0.84,0.88,0.89,0.81,0.85,0.79,0.53,0.75,0.92,0.64,0.97,0.83,0.93,0.11,0.92,0.83,0.49,0.47,0.96
4,0.87,0.84,0.65,0.92,0.77,0.87,0.87,0.93,0.81,0.83,0.63,0.67,0.72,0.93,0.71,0.96,0.85,0.85,0.09,0.92,0.79,0.56,0.56,0.89
5,0.87,0.85,0.57,0.92,0.83,0.83,0.87,0.93,0.77,0.81,0.69,0.59,0.75,0.96,0.73,0.96,0.79,0.93,0.08,0.92,0.72,0.52,0.45,0.95
6,0.89,0.83,0.56,0.88,0.75,0.84,0.87,0.92,0.75,0.87,0.68,0.53,0.73,0.93,0.61,0.97,0.81,0.96,0.09,0.89,0.84,0.44,0.43,0.91
7,0.81,0.8,0.64,0.91,0.8,0.85,0.91,0.91,0.83,0.87,0.72,0.59,0.72,0.92,0.71,0.97,0.93,0.95,0.09,0.93,0.84,0.47,0.53,0.97
8,0.83,0.81,0.65,0.89,0.81,0.84,0.87,0.93,0.76,0.85,0.61,0.61,0.76,0.95,0.72,0.97,0.89,0.88,0.05,0.87,0.72,0.45,0.49,0.96
9,0.81,0.8,0.67,1.0,0.76,0.85,0.88,0.96,0.8,0.83,0.67,0.63,0.65,0.92,0.65,0.96,0.92,0.91,0.09,0.88,0.75,0.53,0.49,0.92
