,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
0,0.55,0.57,0.12,0.92,0.9,0.88,0.68,0.92,0.2,0.18,0.72,0.38,0.35,0.85,0.22,0.9,0.3,0.22,0.68,0.45,0.98,0.22,0.52,0.9
1,0.95,0.35,0.32,0.7,0.75,0.5,0.8,0.8,0.75,0.22,0.57,0.5,0.35,0.98,0.22,0.5,0.78,0.25,0.2,0.72,0.6,0.3,0.55,0.92
2,1.0,0.88,0.4,0.7,0.42,0.85,0.78,0.8,0.15,0.2,0.48,0.75,0.6,0.85,0.25,0.2,0.92,0.75,0.65,0.55,0.88,0.72,0.48,0.9
3,1.0,1.0,0.32,0.8,0.92,0.9,0.6,0.9,0.52,0.48,0.57,0.75,0.45,0.62,0.15,0.95,0.72,0.7,0.57,0.2,0.88,0.85,0.22,0.8
4,0.4,0.4,0.52,0.8,0.9,0.68,0.48,0.78,0.68,0.3,0.62,0.8,0.72,0.82,0.25,0.88,0.95,0.48,0.75,0.1,0.92,0.72,0.3,1.0
5,1.0,0.4,0.75,0.62,0.5,0.55,0.72,1.0,0.48,0.32,0.72,0.78,0.45,0.8,0.2,0.6,0.95,0.48,0.62,0.4,0.2,0.57,0.42,0.8
6,0.42,0.92,0.35,0.5,0.85,1.0,0.22,0.9,0.72,0.42,0.28,0.82,0.28,0.78,0.2,0.9,0.92,0.4,0.65,0.55,1.0,0.57,0.35,0.85
7,0.68,0.95,0.62,0.9,0.85,0.68,0.57,0.85,0.32,0.28,0.72,0.65,0.52,0.35,0.4,0.42,0.95,0.65,0.52,0.42,0.92,0.75,0.42,1.0
8,0.75,0.75,0.85,0.38,0.65,0.82,0.3,0.85,0.38,0.28,0.8,0.68,0.45,0.72,0.25,0.95,0.65,0.8,0.52,0.12,1.0,0.85,0.32,0.92
9,0.92,0.72,0.38,0.72,0.25,0.8,0.25,0.7,0.5,0.48,0.62,0.8,0.65,0.3,0.28,0.98,0.88,0.78,0.25,0.22,0.98,0.6,0.42,0.85
