,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
0,1.0,0.95,0.98,1.0,1.0,0.96,0.96,0.98,0.89,0.93,0.96,0.98,0.93,1.0,0.85,1.0,1.0,0.96,0.8,0.95,1.0,0.98,0.75,1.0
1,1.0,0.91,0.96,0.98,1.0,1.0,0.98,1.0,0.82,0.98,0.96,0.98,0.95,1.0,0.82,0.96,1.0,0.96,0.76,0.93,1.0,1.0,0.78,1.0
2,1.0,0.87,0.98,1.0,0.98,0.98,0.96,1.0,0.87,0.95,0.98,1.0,0.98,0.98,0.87,0.98,1.0,1.0,0.78,0.93,1.0,0.98,0.78,1.0
3,1.0,0.95,0.98,1.0,0.98,0.98,0.98,1.0,0.87,0.93,0.95,0.96,1.0,1.0,0.84,0.96,1.0,0.98,0.8,0.93,1.0,1.0,0.8,1.0
4,1.0,0.91,0.96,0.98,1.0,1.0,0.96,0.98,0.85,0.91,0.95,0.98,0.95,1.0,0.82,0.96,1.0,0.98,0.82,0.91,1.0,0.98,0.82,1.0
5,1.0,0.89,0.96,0.98,1.0,1.0,0.96,0.96,0.89,0.91,0.95,0.98,0.93,1.0,0.82,0.96,0.98,0.98,0.73,0.87,1.0,0.98,0.76,1.0
6,1.0,0.91,0.98,1.0,1.0,1.0,0.95,0.98,0.89,0.93,0.96,0.95,0.98,0.98,0.84,0.98,1.0,0.96,0.75,0.89,1.0,0.98,0.75,1.0
7,1.0,0.98,0.98,1.0,0.98,1.0,0.95,1.0,0.87,0.93,0.98,1.0,0.93,0.98,0.89,0.98,1.0,0.98,0.84,0.93,1.0,1.0,0.8,1.0
8,1.0,0.96,0.95,1.0,1.0,0.98,0.95,1.0,0.91,0.91,0.93,0.98,0.93,1.0,0.89,1.0,1.0,1.0,0.78,0.95,1.0,0.96,0.8,1.0
9,1.0,0.91,1.0,1.0,0.96,1.0,0.98,0.98,0.85,0.95,0.98,0.98,0.91,1.0,0.91,0.98,1.0,0.96,0.8,0.91,1.0,0.96,0.76,1.0
