,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
0,1.0,0.44,0.99,0.99,1.0,0.97,0.97,0.99,0.85,0.89,0.96,0.97,0.95,0.96,0.83,0.96,0.99,0.95,0.75,0.92,0.99,0.96,0.73,0.99
1,1.0,0.43,0.97,0.99,0.99,0.99,0.96,1.0,0.83,0.89,0.96,0.97,0.97,0.99,0.83,0.96,1.0,0.96,0.77,0.93,1.0,1.0,0.76,1.0
2,1.0,0.17,1.0,1.0,1.0,1.0,0.97,0.99,0.87,0.91,0.99,1.0,0.99,0.97,0.88,0.97,1.0,0.95,0.83,0.91,1.0,0.97,0.76,1.0
3,1.0,0.43,0.99,1.0,0.99,0.96,0.97,0.99,0.84,0.96,1.0,0.96,0.96,0.99,0.88,0.97,0.99,0.93,0.84,0.93,1.0,0.97,0.77,1.0
4,1.0,0.51,1.0,1.0,1.0,0.99,0.95,0.99,0.84,0.91,0.97,0.99,0.95,0.96,0.85,0.96,1.0,0.92,0.83,0.89,1.0,0.97,0.84,1.0
5,1.0,0.81,0.97,0.99,1.0,0.99,0.95,1.0,0.85,0.95,0.97,0.99,0.97,0.97,0.81,0.96,1.0,0.97,0.83,0.92,1.0,1.0,0.87,0.99
6,1.0,0.57,0.99,1.0,0.99,0.99,0.96,0.97,0.83,0.93,0.97,0.99,0.97,0.99,0.81,0.95,1.0,0.93,0.84,0.89,0.97,0.99,0.81,1.0
7,1.0,0.71,1.0,1.0,0.99,0.99,0.99,1.0,0.87,0.91,0.97,1.0,0.97,0.99,0.87,0.96,1.0,0.93,0.83,0.95,1.0,0.95,0.81,1.0
8,1.0,0.8,0.99,0.99,1.0,0.97,1.0,1.0,0.85,0.89,0.97,1.0,0.97,0.99,0.81,0.96,0.99,0.99,0.83,0.93,0.99,1.0,0.85,1.0
9,1.0,0.77,0.99,1.0,0.99,0.95,0.99,0.99,0.85,0.91,0.97,0.99,0.95,0.97,0.89,0.95,1.0,0.95,0.83,0.97,1.0,1.0,0.8,1.0
