,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
0,1.0,0.3,0.72,0.88,0.8,0.75,0.8,0.85,0.35,0.5,0.7,0.4,0.7,0.65,0.2,0.88,0.68,0.95,0.45,0.57,0.95,0.65,0.32,0.98
1,0.85,0.88,0.45,0.72,0.72,0.68,0.28,0.95,0.6,0.48,0.2,0.4,0.12,0.6,0.52,0.9,0.88,0.9,0.72,0.28,1.0,0.68,0.32,0.6
2,0.62,0.98,0.32,0.38,0.25,0.6,0.8,0.9,0.3,0.68,0.85,0.72,0.62,0.88,0.3,0.98,0.85,0.92,0.75,0.32,1.0,0.82,0.25,0.98
3,0.92,0.92,0.7,0.65,0.3,0.8,0.6,0.7,0.42,0.38,0.62,0.82,0.78,0.95,0.4,0.95,0.92,0.78,0.7,0.65,0.68,0.7,0.4,0.98
4,0.92,0.88,0.32,0.82,0.95,0.95,0.55,0.62,0.62,0.25,0.82,0.75,0.68,0.88,0.28,0.52,0.65,0.78,0.2,0.25,0.95,0.88,0.28,0.88
5,0.62,0.82,0.78,0.85,0.32,0.42,0.75,0.92,0.7,0.35,0.82,0.38,0.7,0.82,0.5,0.72,0.3,0.5,0.55,0.18,0.85,0.48,0.3,1.0
6,0.65,0.72,0.62,0.72,0.85,0.72,0.88,0.75,0.38,0.72,0.28,0.65,0.48,0.82,0.48,0.92,0.55,0.9,0.62,0.6,0.92,0.55,0.55,0.9
7,0.28,0.7,0.72,0.7,0.88,0.65,0.42,0.85,0.52,0.65,0.82,0.62,0.55,0.32,0.22,0.75,1.0,0.62,0.6,0.48,0.9,0.5,0.32,1.0
8,1.0,0.9,0.82,0.57,0.9,0.95,0.42,0.88,0.7,0.55,0.52,0.38,0.68,0.72,0.32,0.68,0.68,0.65,0.6,0.62,0.8,0.48,0.42,0.65
9,1.0,0.95,0.6,0.88,0.3,0.52,0.45,0.25,0.6,0.68,0.7,0.75,0.28,0.9,0.52,0.9,0.9,0.82,0.62,0.57,0.72,1.0,0.4,0.98
