,0
0,2.8668041229248047
1,2.6552786827087402
2,2.7588272094726562
3,2.743346691131592
4,2.7578306198120117
5,2.9726128578186035
6,2.718060255050659
7,3.158195734024048
8,2.57839298248291
9,2.5749731063842773
10,2.5669219493865967
11,2.5769236087799072
12,2.512479066848755
13,2.539144992828369
14,2.548293113708496
15,2.610255718231201
16,2.6163713932037354
17,2.5875563621520996
18,2.6315832138061523
19,2.6160104274749756
20,2.6920716762542725
21,2.6369264125823975
22,2.6647770404815674
23,2.6281795501708984
