,0
0,191.97871160507202
1,192.3653848171234
2,188.96815657615662
3,185.2399344444275
4,190.09087228775024
5,188.80117988586426
6,190.67613458633423
7,193.9536530971527
8,166.40403485298157
9,160.01011490821838
10,158.58546018600464
11,157.52049231529236
12,157.30316758155823
13,183.79166626930237
14,187.7745759487152
15,188.9790163040161
16,180.15910696983337
17,180.36591744422913
18,180.95753002166748
19,178.2957742214203
20,181.23926401138306
21,183.4889771938324
22,187.63920664787292
23,178.14963555335999
