,0
0,5.4205591678619385
1,5.489683628082275
2,5.369688034057617
3,5.278034925460815
4,5.418624401092529
5,5.298449277877808
6,5.4294304847717285
7,5.442396402359009
8,5.649252414703369
9,12.57277798652649
10,5.6795878410339355
11,5.6234962940216064
12,5.629079103469849
13,6.027917146682739
14,5.598985433578491
15,5.779153347015381
16,5.4791059494018555
17,5.365966320037842
18,5.285597085952759
19,5.348167419433594
20,5.385470628738403
21,5.535556077957153
22,5.4475367069244385
23,5.298243284225464
