,0
0,15.031354188919067
1,15.589718103408813
2,15.583197355270386
3,15.188711166381836
4,15.026381731033325
5,15.123705387115479
6,15.031553506851196
7,15.024966955184937
8,15.093672513961792
9,14.975832223892212
10,15.166985750198364
11,15.026366233825684
12,15.039458990097046
13,15.039850234985352
14,14.99203109741211
15,15.218732357025146
16,15.065151691436768
17,14.97865605354309
18,15.010464191436768
19,15.009459972381592
20,15.004548072814941
21,14.978724002838135
22,14.982218265533447
23,15.088504076004028
