,mode,domain,loss,score
0,train,['1/0'],0.6259271855738735,0.6514534834789342
1,validation,['1/0'],0.6407032230418478,0.6447916666666667
2,test(noUDA),['1/0'],0.7851247913818441,0.5489089347079038
3,test(noUDA)_code,['1/0'],,0.43
4,train,['2/0'],0.5910324014233924,0.6993853344330545
5,validation,['2/0'],0.5911283729941903,0.70625
6,test(noUDA),['2/0'],0.9191642093384436,0.514557560137457
7,test(noUDA)_code,['2/0'],,0.25
8,train,['3/0'],0.6308312922537938,0.6430084745762712
9,validation,['3/0'],0.6385573831901772,0.6416666666666666
10,test(noUDA),['3/0'],0.7175651315863647,0.5441280068728522
11,test(noUDA)_code,['3/0'],,0.33
