,mode,domain,loss,score
0,train,['1/0'],0.6324508972403506,0.6581037104366902
1,validation,['1/0'],0.6372688768396934,0.640625
2,test(noUDA),['1/0'],0.6690808628066602,0.6556400343642612
3,test(noUDA)_code,['1/0'],,0.55
4,test(SFUDA),['1/0'],0.716236843900788,0.4867053264604811
5,train,['2/0'],0.6597301792033009,0.6074918680246811
6,validation,['2/0'],0.6561051877821905,0.6135416666666667
7,test(noUDA),['2/0'],0.6875590171183755,0.5778694158075601
8,test(noUDA)_code,['2/0'],,0.47
9,test(SFUDA),['2/0'],0.69477071857206,0.5458805841924399
10,train,['3/0'],0.6511138390821861,0.6289829823764077
11,validation,['3/0'],0.6480224622126374,0.6427083333333333
12,test(noUDA),['3/0'],0.6660193050988594,0.6686340206185567
13,test(noUDA)_code,['3/0'],,0.77
14,test(SFUDA),['3/0'],0.693497272364722,0.5482731958762888
