,mode,domain,loss,score
0,train,['1/0'],0.6848088315239659,0.5574001694937282
1,validation,['1/0'],0.6895719766616821,0.5371212121212121
2,test(noUDA),['1/0'],1.2186659574508667,0.4998281786941581
3,test(noUDA)_code,['1/0'],,0.25
4,test(SFUDA),['1/0'],0.6956651210784912,0.527418384879725
5,test(onlineSFUDA),['1/0'],0.6977628695701602,0.530266323024055
6,test(online_sim_SFUDA),['1/0'],0.6977628695701602,0.530266323024055
7,train,['2/0'],0.6463958972398146,0.6260743074483688
8,validation,['2/0'],0.6879743337631226,0.5642045454545455
9,test(noUDA),['2/0'],3.3886964321136475,0.5004166666666666
10,test(noUDA)_code,['2/0'],,0.25
11,test(SFUDA),['2/0'],0.7570561766624451,0.5232001718213058
12,test(onlineSFUDA),['2/0'],0.7543696012188736,0.5211941580756013
13,test(online_sim_SFUDA),['2/0'],0.7543696012188736,0.5211941580756013
14,train,['3/0'],0.6481390759988797,0.6209283501099432
15,validation,['3/0'],0.6879922151565552,0.5704545454545454
16,test(noUDA),['3/0'],1.8101691007614136,0.5061769759450172
17,test(noUDA)_code,['3/0'],,0.3
18,test(SFUDA),['3/0'],0.731995165348053,0.514016323024055
19,test(onlineSFUDA),['3/0'],0.717533225655301,0.5125214776632303
20,test(online_sim_SFUDA),['3/0'],0.717533225655301,0.5125214776632303
21,train,['4/0'],0.6452461774504221,0.6268043163720123
22,validation,['4/0'],0.6845255494117737,0.5664772727272727
23,test(noUDA),['4/0'],1.9240961074829102,0.5289604810996563
24,test(noUDA)_code,['4/0'],,0.3
25,test(SFUDA),['4/0'],0.720857560634613,0.5331099656357388
26,test(onlineSFUDA),['4/0'],0.727188950341906,0.5336898625429554
27,test(online_sim_SFUDA),['4/0'],0.727188950341906,0.5336898625429554
28,train,['5/0'],0.6533116313241283,0.6191320491051857
29,validation,['5/0'],0.6856801509857178,0.5579545454545454
30,test(noUDA),['5/0'],2.225008726119995,0.5240807560137457
31,test(noUDA)_code,['5/0'],,0.23
32,test(SFUDA),['5/0'],0.724046528339386,0.532139175257732
33,test(onlineSFUDA),['5/0'],0.7292875127341503,0.5250128865979381
34,test(online_sim_SFUDA),['5/0'],0.7292875127341503,0.5250128865979381
35,train,['6/0'],0.6889682314946102,0.5515242654541814
36,validation,['6/0'],0.6918736100196838,0.5162878787878787
37,test(noUDA),['6/0'],0.6442020535469055,0.5
38,test(noUDA)_code,['6/0'],,0.25
39,test(SFUDA),['6/0'],0.6963498592376709,0.5432173539518901
40,test(onlineSFUDA),['6/0'],0.6978923733842339,0.543569587628866
41,test(online_sim_SFUDA),['6/0'],0.6978923733842339,0.543569587628866
42,train,['7/0'],0.6464080871068514,0.6278695825250862
43,validation,['7/0'],0.6906736493110657,0.5609848484848485
44,test(noUDA),['7/0'],1.6902488470077515,0.5044329896907217
45,test(noUDA)_code,['7/0'],,0.23
46,test(SFUDA),['7/0'],0.7222371697425842,0.5057689003436426
47,test(onlineSFUDA),['7/0'],0.7224939305961472,0.5119716494845361
48,test(online_sim_SFUDA),['7/0'],0.7224939305961472,0.5119716494845361
49,train,['8/0'],0.6576801729858468,0.60734008578835
50,validation,['8/0'],0.6844609975814819,0.5681818181818181
51,test(noUDA),['8/0'],1.9603625535964966,0.4996520618556701
52,test(noUDA)_code,['8/0'],,0.2
53,test(SFUDA),['8/0'],0.7110275626182556,0.5521692439862543
54,test(onlineSFUDA),['8/0'],0.7014601801068355,0.553758591065292
55,test(online_sim_SFUDA),['8/0'],0.7014601801068355,0.553758591065292
56,train,['9/0'],0.6681588115313002,0.5930810397553516
57,validation,['9/0'],0.6883268356323242,0.54375
58,test(noUDA),['9/0'],9.62330436706543,0.4980541237113402
59,test(noUDA)_code,['9/0'],,0.23
60,test(SFUDA),['9/0'],0.7070310115814209,0.5007044673539519
61,test(onlineSFUDA),['9/0'],0.7202035142719067,0.49448024054982814
62,test(online_sim_SFUDA),['9/0'],0.7202035142719067,0.49448024054982814
63,train,['10/0'],0.6866103944602919,0.5488428107020139
64,validation,['10/0'],0.6923476457595825,0.5149621212121211
65,test(noUDA),['10/0'],1.8540822267532349,0.5101890034364261
66,test(noUDA)_code,['10/0'],,0.23
67,test(SFUDA),['10/0'],0.6898115873336792,0.5150816151202748
68,test(onlineSFUDA),['10/0'],0.6924640848001523,0.51625
69,test(online_sim_SFUDA),['10/0'],0.6924640848001523,0.51625
70,train,['11/0'],0.6552095354700381,0.614212146793267
71,validation,['11/0'],0.6880174279212952,0.5602272727272728
72,test(noUDA),['11/0'],5.0332159996032715,0.5
73,test(noUDA)_code,['11/0'],,0.25
74,test(SFUDA),['11/0'],0.7293223142623901,0.5373024054982818
75,test(onlineSFUDA),['11/0'],0.7308863283392371,0.5361855670103093
76,test(online_sim_SFUDA),['11/0'],0.7308863283392371,0.5361855670103093
77,train,['12/0'],0.6893624629929801,0.5406544507450792
78,validation,['12/0'],0.6926454305648804,0.5200757575757575
79,test(noUDA),['12/0'],0.5079845786094666,0.4951632302405498
80,test(noUDA)_code,['12/0'],,0.23
81,test(SFUDA),['12/0'],0.692177414894104,0.5187328178694157
82,test(onlineSFUDA),['12/0'],0.6915322373905073,0.5091795532646048
83,test(online_sim_SFUDA),['12/0'],0.6915322373905073,0.5091795532646048
