,mode,domain,loss,score
0,train,['1/0'],0.6822912513782984,0.5613164677372845
1,validation,['1/0'],0.6890336275100708,0.5350378787878788
2,test(noUDA),['1/0'],1.6630077362060547,0.5165463917525773
3,test(noUDA)_code,['1/0'],,0.33
4,test(SFUDA),['1/0'],0.6891183257102966,0.5439046391752578
5,test(onlineSFUDA),['1/0'],0.6899988174693197,0.5447809278350515
6,test(online_sim_SFUDA),['1/0'],0.6899988174693197,0.5447809278350515
7,train,['2/0'],0.6570741927309288,0.6116539313605203
8,validation,['2/0'],0.6765095591545105,0.578219696969697
9,test(noUDA),['2/0'],5.620676517486572,0.5000128865979382
10,test(noUDA)_code,['2/0'],,0.27
11,test(SFUDA),['2/0'],0.7041947245597839,0.5269501718213059
12,test(onlineSFUDA),['2/0'],0.7021958825679926,0.5244286941580756
13,test(online_sim_SFUDA),['2/0'],0.7021958825679926,0.5244286941580756
14,train,['3/0'],0.6358826216580211,0.6364167429407172
15,validation,['3/0'],0.6845730543136597,0.5784090909090909
16,test(noUDA),['3/0'],8.076390266418457,0.5001030927835052
17,test(noUDA)_code,['3/0'],,0.27
18,test(SFUDA),['3/0'],0.7174119353294373,0.537328178694158
19,test(onlineSFUDA),['3/0'],0.6926197521749385,0.5380884879725086
20,test(online_sim_SFUDA),['3/0'],0.6926197521749385,0.5380884879725086
21,train,['4/0'],0.6832777942099222,0.5617130362318576
22,validation,['4/0'],0.6885504126548767,0.5446969696969697
23,test(noUDA),['4/0'],0.8981454372406006,0.5308204467353952
24,test(noUDA)_code,['4/0'],,0.42
25,test(SFUDA),['4/0'],0.6944203972816467,0.5265378006872852
26,test(onlineSFUDA),['4/0'],0.6931825955284288,0.5305498281786941
27,test(online_sim_SFUDA),['4/0'],0.6931825955284288,0.5305498281786941
28,train,['5/0'],0.633948082546536,0.6397110759976243
29,validation,['5/0'],0.6797438859939575,0.5768939393939394
30,test(noUDA),['5/0'],10.079805374145508,0.5008977663230241
31,test(noUDA)_code,['5/0'],,0.28
32,test(SFUDA),['5/0'],0.7272489666938782,0.5540764604810997
33,test(onlineSFUDA),['5/0'],0.7489314034644865,0.5499871134020619
34,test(online_sim_SFUDA),['5/0'],0.7489314034644865,0.5499871134020619
35,train,['6/0'],0.6615908072122092,0.6015514337030015
36,validation,['6/0'],0.6811290979385376,0.5587121212121212
37,test(noUDA),['6/0'],1.9097293615341187,0.546774054982818
38,test(noUDA)_code,['6/0'],,0.4
39,test(SFUDA),['6/0'],0.7046545147895813,0.5578737113402061
40,test(onlineSFUDA),['6/0'],0.6752882984904652,0.5585223367697594
41,test(online_sim_SFUDA),['6/0'],0.6752882984904652,0.5585223367697594
42,train,['7/0'],0.6372784767344345,0.6360800050854165
43,validation,['7/0'],0.6814603209495544,0.5759469696969697
44,test(noUDA),['7/0'],5.184821605682373,0.5103393470790378
45,test(noUDA)_code,['7/0'],,0.27
46,test(SFUDA),['7/0'],0.7131948471069336,0.4970274914089347
47,test(onlineSFUDA),['7/0'],0.7279926436685259,0.49874140893470786
48,test(online_sim_SFUDA),['7/0'],0.7279926436685259,0.49874140893470786
49,train,['8/0'],0.6524718536913974,0.616507914190856
50,validation,['8/0'],0.6806756258010864,0.5704545454545454
51,test(noUDA),['8/0'],12.84565258026123,0.5
52,test(noUDA)_code,['8/0'],,0.25
53,test(SFUDA),['8/0'],0.6965239644050598,0.5759579037800687
54,test(onlineSFUDA),['8/0'],0.6837148699134673,0.5712242268041237
55,test(online_sim_SFUDA),['8/0'],0.6837148699134673,0.5712242268041237
56,train,['9/0'],0.5977910118137332,0.6716397866776591
57,validation,['9/0'],0.671990156173706,0.5969696969696969
58,test(noUDA),['9/0'],4.282522678375244,0.5135738831615121
59,test(noUDA)_code,['9/0'],,0.3
60,test(SFUDA),['9/0'],0.762416660785675,0.5119716494845361
61,test(onlineSFUDA),['9/0'],0.7780056648465813,0.5101975945017182
62,test(online_sim_SFUDA),['9/0'],0.7780056648465813,0.5101975945017182
63,train,['10/0'],0.6594226325767628,0.6006498426227889
64,validation,['10/0'],0.6860970258712769,0.5617424242424243
65,test(noUDA),['10/0'],8.510193824768066,0.5
66,test(noUDA)_code,['10/0'],,0.25
67,test(SFUDA),['10/0'],0.67013019323349,0.6104037800687285
68,test(onlineSFUDA),['10/0'],0.6632535540225499,0.6084922680412371
69,test(online_sim_SFUDA),['10/0'],0.6632535540225499,0.6084922680412371
70,train,['11/0'],0.613201605914587,0.6581005852218658
71,validation,['11/0'],0.6820273995399475,0.5899621212121212
72,test(noUDA),['11/0'],4.202647686004639,0.5164089347079037
73,test(noUDA)_code,['11/0'],,0.28
74,test(SFUDA),['11/0'],0.7343915700912476,0.5360867697594502
75,test(onlineSFUDA),['11/0'],0.7183752083402668,0.5418857388316152
76,test(online_sim_SFUDA),['11/0'],0.7183752083402668,0.5418857388316152
77,train,['12/0'],0.6640059496287247,0.5929229914557982
78,validation,['12/0'],0.6798856258392334,0.5698863636363636
79,test(noUDA),['12/0'],3.768630027770996,0.5118256013745704
80,test(noUDA)_code,['12/0'],,0.18
81,test(SFUDA),['12/0'],0.6940685510635376,0.5327233676975944
82,test(onlineSFUDA),['12/0'],0.6859318602564838,0.5395317869415808
83,test(online_sim_SFUDA),['12/0'],0.6859318602564838,0.5395317869415808
