;index_participant;score;classifier;TF_method
0;1;0.8118615276476101;Xdawn_LDA;LOOA
1;2;0.7025714620431116;Xdawn_LDA;LOOA
2;3;0.703965557638238;Xdawn_LDA;LOOA
3;4;0.7161082474226803;Xdawn_LDA;LOOA
4;5;0.7282040768509841;Xdawn_LDA;LOOA
5;6;0.7400656044985943;Xdawn_LDA;LOOA
6;7;0.6371192596063731;Xdawn_LDA;LOOA
7;8;0.61023313027179;Xdawn_LDA;LOOA
8;9;0.6842490627928772;Xdawn_LDA;LOOA
9;10;0.8513296626054359;Xdawn_LDA;LOOA
10;11;0.7323629334582943;Xdawn_LDA;LOOA
11;12;0.6741740862230553;Xdawn_LDA;LOOA
12;1;0.7947680412371134;Xdawn_LDA;LOO
13;2;0.7020017182130585;Xdawn_LDA;LOO
14;3;0.764548969072165;Xdawn_LDA;LOO
15;4;0.7695360824742268;Xdawn_LDA;LOO
16;5;0.7083290378006872;Xdawn_LDA;LOO
17;6;0.758745704467354;Xdawn_LDA;LOO
18;7;0.5981099656357388;Xdawn_LDA;LOO
19;8;0.5342053264604811;Xdawn_LDA;LOO
20;9;0.6694974226804123;Xdawn_LDA;LOO
21;10;0.8247594501718214;Xdawn_LDA;LOO
22;11;0.7141408934707903;Xdawn_LDA;LOO
23;12;0.7239046391752577;Xdawn_LDA;LOO
24;1;0.7970009372071227;Xdawn_LDA;WO
25;2;0.6854440018744143;Xdawn_LDA;WO
26;3;0.7827026710402999;Xdawn_LDA;WO
27;4;0.7323629334582943;Xdawn_LDA;WO
28;5;0.7738870665417057;Xdawn_LDA;WO
29;6;0.7521790065604499;Xdawn_LDA;WO
30;7;0.7381794751640112;Xdawn_LDA;WO
31;8;0.8185742736644799;Xdawn_LDA;WO
32;9;0.6343076382380506;Xdawn_LDA;WO
33;10;0.9088331771321463;Xdawn_LDA;WO
34;11;0.7077436738519213;Xdawn_LDA;WO
35;12;0.6487933458294284;Xdawn_LDA;WO
36;1;0.8576792408622305;CNN;LOOA
37;2;0.7711164479850048;CNN;LOOA
38;3;0.8051194939081536;CNN;LOOA
39;4;0.7780049203373945;CNN;LOOA
40;5;0.8070934864104967;CNN;LOOA
41;6;0.8673734770384255;CNN;LOOA
42;7;0.6759372071227742;CNN;LOOA
