;index_participant;score;classifier;TF_method
0;1;0.89;Xdawn_LDA;LOOA
1;2;0.82;Xdawn_LDA;LOOA
2;3;0.82;Xdawn_LDA;LOOA
3;4;0.77;Xdawn_LDA;LOOA
4;5;0.84;Xdawn_LDA;LOOA
5;6;0.73;Xdawn_LDA;LOOA
6;7;0.75;Xdawn_LDA;LOOA
7;8;0.55;Xdawn_LDA;LOOA
8;9;0.89;Xdawn_LDA;LOOA
9;10;0.98;Xdawn_LDA;LOOA
10;11;0.8;Xdawn_LDA;LOOA
11;12;0.68;Xdawn_LDA;LOOA
12;1;0.82;Xdawn_LDA;LOO
13;2;0.85;Xdawn_LDA;LOO
14;3;0.93;Xdawn_LDA;LOO
15;4;0.92;Xdawn_LDA;LOO
16;5;0.87;Xdawn_LDA;LOO
17;6;0.83;Xdawn_LDA;LOO
18;7;0.62;Xdawn_LDA;LOO
19;8;0.3;Xdawn_LDA;LOO
20;9;0.9;Xdawn_LDA;LOO
21;10;1.0;Xdawn_LDA;LOO
22;11;0.77;Xdawn_LDA;LOO
23;12;0.73;Xdawn_LDA;LOO
24;1;0.93;Xdawn_LDA;WO
25;2;0.82;Xdawn_LDA;WO
26;3;0.89;Xdawn_LDA;WO
27;4;0.89;Xdawn_LDA;WO
28;5;0.95;Xdawn_LDA;WO
29;6;0.84;Xdawn_LDA;WO
30;7;0.82;Xdawn_LDA;WO
31;8;0.98;Xdawn_LDA;WO
32;9;0.7;Xdawn_LDA;WO
33;10;0.98;Xdawn_LDA;WO
34;11;0.82;Xdawn_LDA;WO
35;12;0.55;Xdawn_LDA;WO
36;1;0.93;CNN;LOOA
37;2;0.89;CNN;LOOA
38;3;0.89;CNN;LOOA
39;4;0.95;CNN;LOOA
40;5;0.95;CNN;LOOA
41;6;0.95;CNN;LOOA
42;7;0.66;CNN;LOOA
43;8;0.95;CNN;LOOA
44;9;0.93;CNN;LOOA
45;10;1.0;CNN;LOOA
46;11;0.89;CNN;LOOA
47;12;0.73;CNN;LOOA
48;1;0.87;CNN;LOO
49;2;0.88;CNN;LOO
50;3;0.87;CNN;LOO
51;4;0.93;CNN;LOO
52;5;0.92;CNN;LOO
53;6;0.92;CNN;LOO
54;7;0.67;CNN;LOO
55;8;0.88;CNN;LOO
56;9;0.82;CNN;LOO
57;10;1.0;CNN;LOO
58;11;0.87;CNN;LOO
59;12;0.72;CNN;LOO
60;1;0.97;CNN;WO
61;2;0.84;CNN;WO
62;3;0.97;CNN;WO
63;4;0.75;CNN;WO
64;5;0.97;CNN;WO
65;6;1.0;CNN;WO
66;7;0.91;CNN;WO
67;8;0.94;CNN;WO
68;9;0.66;CNN;WO
69;10;1.0;CNN;WO
70;11;0.91;CNN;WO
71;12;0.62;CNN;WO
72;1;0.95;SPDNet;LOOA
73;2;0.84;SPDNet;LOOA
74;3;0.96;SPDNet;LOOA
75;4;0.91;SPDNet;LOOA
76;5;0.98;SPDNet;LOOA
77;6;0.96;SPDNet;LOOA
78;7;0.89;SPDNet;LOOA
79;8;0.93;SPDNet;LOOA
80;9;0.86;SPDNet;LOOA
81;10;1.0;SPDNet;LOOA
82;11;0.73;SPDNet;LOOA
83;12;0.8;SPDNet;LOOA
84;1;0.95;SPDNet;LOO
85;2;0.8;SPDNet;LOO
86;3;0.98;SPDNet;LOO
87;4;0.85;SPDNet;LOO
88;5;0.97;SPDNet;LOO
89;6;0.93;SPDNet;LOO
90;7;0.85;SPDNet;LOO
91;8;0.95;SPDNet;LOO
92;9;0.75;SPDNet;LOO
93;10;1.0;SPDNet;LOO
94;11;0.7;SPDNet;LOO
95;12;0.8;SPDNet;LOO
96;1;0.93;SPDNet;RPAclb
97;2;0.8;SPDNet;RPAclb
98;3;0.86;SPDNet;RPAclb
99;4;0.86;SPDNet;RPAclb
100;5;0.91;SPDNet;RPAclb
101;6;1.0;SPDNet;RPAclb
102;7;0.82;SPDNet;RPAclb
103;8;0.98;SPDNet;RPAclb
104;9;0.45;SPDNet;RPAclb
105;10;1.0;SPDNet;RPAclb
106;11;0.91;SPDNet;RPAclb
107;12;0.59;SPDNet;RPAclb
108;1;0.93;SPDNet;RPAorg
109;2;0.77;SPDNet;RPAorg
110;3;0.98;SPDNet;RPAorg
111;4;0.86;SPDNet;RPAorg
112;5;0.93;SPDNet;RPAorg
113;6;0.95;SPDNet;RPAorg
114;7;0.91;SPDNet;RPAorg
115;8;0.98;SPDNet;RPAorg
116;9;0.84;SPDNet;RPAorg
117;10;1.0;SPDNet;RPAorg
118;11;0.86;SPDNet;RPAorg
119;12;0.84;SPDNet;RPAorg
120;1;0.93;SPDNet;RPApyriemorg
121;2;0.72;SPDNet;RPApyriemorg
122;3;0.93;SPDNet;RPApyriemorg
123;4;0.67;SPDNet;RPApyriemorg
124;5;0.97;SPDNet;RPApyriemorg
125;6;0.93;SPDNet;RPApyriemorg
126;7;0.85;SPDNet;RPApyriemorg
127;8;0.93;SPDNet;RPApyriemorg
128;9;0.58;SPDNet;RPApyriemorg
129;10;0.98;SPDNet;RPApyriemorg
130;11;0.77;SPDNet;RPApyriemorg
131;12;0.68;SPDNet;RPApyriemorg
132;1;0.9;SPDNet;RPApyriemrct
133;2;0.72;SPDNet;RPApyriemrct
134;3;0.97;SPDNet;RPApyriemrct
135;4;0.83;SPDNet;RPApyriemrct
136;5;0.98;SPDNet;RPApyriemrct
137;6;0.97;SPDNet;RPApyriemrct
138;7;0.9;SPDNet;RPApyriemrct
139;8;0.88;SPDNet;RPApyriemrct
140;9;0.68;SPDNet;RPApyriemrct
141;10;0.98;SPDNet;RPApyriemrct
142;11;0.73;SPDNet;RPApyriemrct
143;12;0.7;SPDNet;RPApyriemrct
144;1;0.87;SPDNet;RPApyriemrot
145;2;0.82;SPDNet;RPApyriemrot
146;3;0.85;SPDNet;RPApyriemrot
147;4;0.85;SPDNet;RPApyriemrot
148;5;1.0;SPDNet;RPApyriemrot
149;6;0.95;SPDNet;RPApyriemrot
150;7;0.92;SPDNet;RPApyriemrot
151;8;0.97;SPDNet;RPApyriemrot
152;9;0.7;SPDNet;RPApyriemrot
153;10;0.97;SPDNet;RPApyriemrot
154;11;0.83;SPDNet;RPApyriemrot
155;12;0.73;SPDNet;RPApyriemrot
156;1;0.89;SPDNet;RPArct
157;2;0.7;SPDNet;RPArct
158;3;0.95;SPDNet;RPArct
159;4;0.91;SPDNet;RPArct
160;5;0.64;SPDNet;RPArct
161;6;0.91;SPDNet;RPArct
162;7;0.86;SPDNet;RPArct
163;8;0.93;SPDNet;RPArct
164;9;0.86;SPDNet;RPArct
165;10;0.95;SPDNet;RPArct
166;11;0.82;SPDNet;RPArct
167;12;0.77;SPDNet;RPArct
168;1;0.75;SPDNet;RPArpa
169;2;0.52;SPDNet;RPArpa
170;3;0.77;SPDNet;RPArpa
171;4;0.66;SPDNet;RPArpa
172;5;0.95;SPDNet;RPArpa
173;6;0.95;SPDNet;RPArpa
174;7;0.77;SPDNet;RPArpa
175;8;0.68;SPDNet;RPArpa
176;9;0.48;SPDNet;RPArpa
177;10;1.0;SPDNet;RPArpa
178;11;0.66;SPDNet;RPArpa
179;12;0.61;SPDNet;RPArpa
180;1;0.94;SPDNet;WO
181;2;0.81;SPDNet;WO
182;3;0.91;SPDNet;WO
183;4;0.88;SPDNet;WO
184;5;1.0;SPDNet;WO
185;6;1.0;SPDNet;WO
186;7;0.84;SPDNet;WO
187;8;1.0;SPDNet;WO
188;9;0.81;SPDNet;WO
189;10;1.0;SPDNet;WO
190;11;0.91;SPDNet;WO
191;12;0.69;SPDNet;WO
192;1;0.33;TSMNet;TSMNet
193;2;0.27;TSMNet;TSMNet
194;3;0.27;TSMNet;TSMNet
195;4;0.42;TSMNet;TSMNet
196;5;0.28;TSMNet;TSMNet
197;6;0.4;TSMNet;TSMNet
198;7;0.27;TSMNet;TSMNet
199;8;0.25;TSMNet;TSMNet
200;9;0.3;TSMNet;TSMNet
201;10;0.25;TSMNet;TSMNet
202;11;0.28;TSMNet;TSMNet
203;12;0.18;TSMNet;TSMNet
