;index_participant;score;classifier;TF_method
0;1;127.14965677261353;CNN;LOOArecenter
1;2;128.18856573104858;CNN;LOOArecenter
2;3;127.89780473709106;CNN;LOOArecenter
3;4;126.11296343803406;CNN;LOOArecenter
4;5;115.38244414329529;CNN;LOOArecenter
5;6;117.4869339466095;CNN;LOOArecenter
6;7;115.66401314735413;CNN;LOOArecenter
7;8;122.54799485206604;CNN;LOOArecenter
8;9;111.44696617126465;CNN;LOOArecenter
9;10;126.74600028991699;CNN;LOOArecenter
10;11;146.58100175857544;CNN;LOOArecenter
11;12;139.9077537059784;CNN;LOOArecenter
12;1;70.41051602363586;CNN;LOOA
13;2;74.75838923454285;CNN;LOOA
14;3;72.7301127910614;CNN;LOOA
15;4;78.15085363388062;CNN;LOOA
16;5;78.85297107696533;CNN;LOOA
17;6;76.06605839729309;CNN;LOOA
18;7;72.74215054512024;CNN;LOOA
19;8;89.31274890899658;CNN;LOOA
20;9;93.67626738548279;CNN;LOOA
21;10;97.67579913139343;CNN;LOOA
22;11;95.44536590576172;CNN;LOOA
23;12;97.33728361129761;CNN;LOOA
24;1;121.75499868392944;CNN;LOOrecenter
25;2;136.52153849601746;CNN;LOOrecenter
26;3;127.65681433677673;CNN;LOOrecenter
27;4;129.5990378856659;CNN;LOOrecenter
28;5;136.06207013130188;CNN;LOOrecenter
29;6;133.86795949935913;CNN;LOOrecenter
30;7;129.8969328403473;CNN;LOOrecenter
31;8;125.86500120162964;CNN;LOOrecenter
32;9;127.15385293960571;CNN;LOOrecenter
33;10;127.84499955177307;CNN;LOOrecenter
34;11;131.8340060710907;CNN;LOOrecenter
35;12;134.58254957199097;CNN;LOOrecenter
36;1;79.49176216125488;CNN;LOO
37;2;84.60636734962463;CNN;LOO
38;3;79.09839940071106;CNN;LOO
39;4;81.06908893585205;CNN;LOO
40;5;78.7444896697998;CNN;LOO
41;6;77.12080788612366;CNN;LOO
42;7;76.84577679634094;CNN;LOO
43;8;78.70988750457764;CNN;LOO
44;9;81.32215189933777;CNN;LOO
45;10;85.10056924819946;CNN;LOO
46;11;84.87814831733704;CNN;LOO
47;12;75.92660641670227;CNN;LOO
48;1;8.850949764251709;CNN;WOrecenter
49;2;8.724990844726562;CNN;WOrecenter
50;3;8.757002830505371;CNN;WOrecenter
51;4;7.718958854675293;CNN;WOrecenter
52;5;7.780966281890869;CNN;WOrecenter
53;6;7.990873098373413;CNN;WOrecenter
54;7;8.097969055175781;CNN;WOrecenter
55;8;8.217129230499268;CNN;WOrecenter
56;9;8.878207445144653;CNN;WOrecenter
57;10;7.510716199874878;CNN;WOrecenter
58;11;7.466966390609741;CNN;WOrecenter
59;12;7.686936140060425;CNN;WOrecenter
60;1;5.9676268100738525;CNN;WO
61;2;6.0500969886779785;CNN;WO
62;3;6.175846815109253;CNN;WO
63;4;6.218156576156616;CNN;WO
64;5;6.252098321914673;CNN;WO
65;6;6.277024269104004;CNN;WO
66;7;6.245685815811157;CNN;WO
67;8;6.28420090675354;CNN;WO
68;9;6.248169898986816;CNN;WO
69;10;6.244554042816162;CNN;WO
70;11;6.315297365188599;CNN;WO
71;12;6.226172924041748;CNN;WO
72;1;116.54750919342041;SPDNet;LOOArecenter
73;2;110.0541181564331;SPDNet;LOOArecenter
74;3;105.28432607650757;SPDNet;LOOArecenter
75;4;109.28787279129028;SPDNet;LOOArecenter
76;5;106.53600120544434;SPDNet;LOOArecenter
77;6;109.03500175476074;SPDNet;LOOArecenter
78;7;113.59255051612854;SPDNet;LOOArecenter
79;8;110.61001944541931;SPDNet;LOOArecenter
80;9;108.53709769248962;SPDNet;LOOArecenter
81;10;108.62563610076904;SPDNet;LOOArecenter
82;11;110.63000106811523;SPDNet;LOOArecenter
83;12;107.86652660369873;SPDNet;LOOArecenter
84;1;148.18943071365356;SPDNet;LOOA
85;2;136.7555055618286;SPDNet;LOOA
86;3;144.76994347572327;SPDNet;LOOA
87;4;156.93107843399048;SPDNet;LOOA
88;5;150.938214302063;SPDNet;LOOA
89;6;146.45710468292236;SPDNet;LOOA
90;7;139.89579343795776;SPDNet;LOOA
91;8;154.67032623291016;SPDNet;LOOA
92;9;194.15005660057068;SPDNet;LOOA
93;10;181.14828515052795;SPDNet;LOOA
94;11;180.98703360557556;SPDNet;LOOA
95;12;160.63565230369568;SPDNet;LOOA
96;1;95.96999287605286;SPDNet;LOOrecenter
97;2;95.64008831977844;SPDNet;LOOrecenter
98;3;99.35152864456177;SPDNet;LOOrecenter
99;4;105.21562194824219;SPDNet;LOOrecenter
100;5;104.49360489845276;SPDNet;LOOrecenter
101;6;105.184091091156;SPDNet;LOOrecenter
102;7;110.26768374443054;SPDNet;LOOrecenter
103;8;110.18603301048279;SPDNet;LOOrecenter
104;9;114.06036019325256;SPDNet;LOOrecenter
105;10;112.97127413749695;SPDNet;LOOrecenter
106;11;117.69090247154236;SPDNet;LOOrecenter
107;12;133.91899919509888;SPDNet;LOOrecenter
108;1;129.3009738922119;SPDNet;LOO
109;2;115.5288405418396;SPDNet;LOO
110;3;117.21283555030823;SPDNet;LOO
111;4;115.68638348579407;SPDNet;LOO
112;5;114.91204619407654;SPDNet;LOO
113;6;127.43251609802246;SPDNet;LOO
114;7;138.41188645362854;SPDNet;LOO
115;8;141.03564763069153;SPDNet;LOO
116;9;142.19491410255432;SPDNet;LOO
117;10;144.35273599624634;SPDNet;LOO
118;11;139.94431018829346;SPDNet;LOO
119;12;142.57164669036865;SPDNet;LOO
120;1;313.0509560108185;SPDNet;RPApyriemorg
121;2;352.7564277648926;SPDNet;RPApyriemorg
122;3;378.38604760169983;SPDNet;RPApyriemorg
123;4;354.6901571750641;SPDNet;RPApyriemorg
124;5;367.38858699798584;SPDNet;RPApyriemorg
125;6;368.8789026737213;SPDNet;RPApyriemorg
126;7;404.5386435985565;SPDNet;RPApyriemorg
127;8;380.125563621521;SPDNet;RPApyriemorg
128;9;382.9407730102539;SPDNet;RPApyriemorg
129;10;388.1088054180145;SPDNet;RPApyriemorg
130;11;404.4258632659912;SPDNet;RPApyriemorg
131;12;419.71561670303345;SPDNet;RPApyriemorg
132;1;318.8428077697754;SPDNet;RPApyriemrct
133;2;350.56868600845337;SPDNet;RPApyriemrct
134;3;348.10897874832153;SPDNet;RPApyriemrct
135;4;357.96342515945435;SPDNet;RPApyriemrct
136;5;364.64035820961;SPDNet;RPApyriemrct
137;6;398.3377511501312;SPDNet;RPApyriemrct
138;7;395.38976860046387;SPDNet;RPApyriemrct
139;8;365.4327280521393;SPDNet;RPApyriemrct
140;9;376.79213190078735;SPDNet;RPApyriemrct
141;10;387.6645655632019;SPDNet;RPApyriemrct
142;11;399.5149164199829;SPDNet;RPApyriemrct
143;12;412.8796103000641;SPDNet;RPApyriemrct
144;1;7.619910001754761;SPDNet;WOrecenter
145;2;6.68100118637085;SPDNet;WOrecenter
146;3;6.533029794692993;SPDNet;WOrecenter
147;4;6.661996603012085;SPDNet;WOrecenter
148;5;7.201972246170044;SPDNet;WOrecenter
149;6;7.536999225616455;SPDNet;WOrecenter
150;7;7.8260157108306885;SPDNet;WOrecenter
151;8;7.33100152015686;SPDNet;WOrecenter
152;9;7.807999849319458;SPDNet;WOrecenter
153;10;7.722981929779053;SPDNet;WOrecenter
