;index_participant;score;classifier;TF_method
0;1;16.48409104347229;Xdawn_LDA;LOOA
1;2;19.161776781082153;Xdawn_LDA;LOOA
2;3;17.764947414398193;Xdawn_LDA;LOOA
3;4;18.191548109054565;Xdawn_LDA;LOOA
4;5;16.736574411392212;Xdawn_LDA;LOOA
5;6;15.928638458251953;Xdawn_LDA;LOOA
6;7;15.722849130630493;Xdawn_LDA;LOOA
7;8;18.417269706726074;Xdawn_LDA;LOOA
8;9;17.932133197784424;Xdawn_LDA;LOOA
9;10;17.402363777160645;Xdawn_LDA;LOOA
10;11;17.951693296432495;Xdawn_LDA;LOOA
11;12;17.26037859916687;Xdawn_LDA;LOOA
12;1;17.743127822875977;Xdawn_LDA;LOO
13;2;17.716595888137817;Xdawn_LDA;LOO
14;3;17.029517889022827;Xdawn_LDA;LOO
15;4;18.249384880065918;Xdawn_LDA;LOO
16;5;17.737317085266113;Xdawn_LDA;LOO
17;6;18.77805805206299;Xdawn_LDA;LOO
18;7;34.35958170890808;Xdawn_LDA;LOO
19;8;33.55541396141052;Xdawn_LDA;LOO
20;9;33.73766541481018;Xdawn_LDA;LOO
21;10;33.501904249191284;Xdawn_LDA;LOO
22;11;33.91581869125366;Xdawn_LDA;LOO
23;12;33.747812032699585;Xdawn_LDA;LOO
24;1;2.9406659603118896;Xdawn_LDA;WO
25;2;2.9351518154144287;Xdawn_LDA;WO
26;3;2.8703136444091797;Xdawn_LDA;WO
27;4;2.8997583389282227;Xdawn_LDA;WO
28;5;2.865443706512451;Xdawn_LDA;WO
29;6;2.920841932296753;Xdawn_LDA;WO
30;7;2.9081227779388428;Xdawn_LDA;WO
31;8;2.863002061843872;Xdawn_LDA;WO
32;9;2.939664363861084;Xdawn_LDA;WO
33;10;2.97916841506958;Xdawn_LDA;WO
34;11;2.922037124633789;Xdawn_LDA;WO
35;12;2.9534120559692383;Xdawn_LDA;WO
36;1;70.41051602363586;CNN;LOOA
37;2;74.75838923454285;CNN;LOOA
38;3;72.7301127910614;CNN;LOOA
39;4;78.15085363388062;CNN;LOOA
40;5;78.85297107696533;CNN;LOOA
41;6;76.06605839729309;CNN;LOOA
42;7;72.74215054512024;CNN;LOOA
43;8;89.31274890899658;CNN;LOOA
44;9;93.67626738548279;CNN;LOOA
45;10;97.67579913139343;CNN;LOOA
46;11;95.44536590576172;CNN;LOOA
47;12;97.33728361129761;CNN;LOOA
48;1;79.49176216125488;CNN;LOO
49;2;84.60636734962463;CNN;LOO
50;3;79.09839940071106;CNN;LOO
51;4;81.06908893585205;CNN;LOO
52;5;78.7444896697998;CNN;LOO
53;6;77.12080788612366;CNN;LOO
54;7;76.84577679634094;CNN;LOO
55;8;78.70988750457764;CNN;LOO
56;9;81.32215189933777;CNN;LOO
57;10;85.10056924819946;CNN;LOO
58;11;84.87814831733704;CNN;LOO
59;12;75.92660641670227;CNN;LOO
60;1;5.9676268100738525;CNN;WO
61;2;6.0500969886779785;CNN;WO
62;3;6.175846815109253;CNN;WO
63;4;6.218156576156616;CNN;WO
64;5;6.252098321914673;CNN;WO
65;6;6.277024269104004;CNN;WO
66;7;6.245685815811157;CNN;WO
67;8;6.28420090675354;CNN;WO
68;9;6.248169898986816;CNN;WO
69;10;6.244554042816162;CNN;WO
70;11;6.315297365188599;CNN;WO
71;12;6.226172924041748;CNN;WO
72;1;148.18943071365356;SPDNet;LOOA
73;2;136.7555055618286;SPDNet;LOOA
74;3;144.76994347572327;SPDNet;LOOA
75;4;156.93107843399048;SPDNet;LOOA
76;5;150.938214302063;SPDNet;LOOA
77;6;146.45710468292236;SPDNet;LOOA
78;7;139.89579343795776;SPDNet;LOOA
79;8;154.67032623291016;SPDNet;LOOA
80;9;194.15005660057068;SPDNet;LOOA
81;10;181.14828515052795;SPDNet;LOOA
82;11;180.98703360557556;SPDNet;LOOA
83;12;160.63565230369568;SPDNet;LOOA
84;1;129.3009738922119;SPDNet;LOO
85;2;115.5288405418396;SPDNet;LOO
86;3;117.21283555030823;SPDNet;LOO
87;4;115.68638348579407;SPDNet;LOO
88;5;114.91204619407654;SPDNet;LOO
89;6;127.43251609802246;SPDNet;LOO
90;7;138.41188645362854;SPDNet;LOO
91;8;141.03564763069153;SPDNet;LOO
92;9;142.19491410255432;SPDNet;LOO
93;10;144.35273599624634;SPDNet;LOO
94;11;139.94431018829346;SPDNet;LOO
95;12;142.57164669036865;SPDNet;LOO
96;1;6.138000726699829;SPDNet;RPAclb
97;2;4.1269426345825195;SPDNet;RPAclb
98;3;7.682908296585083;SPDNet;RPAclb
99;4;4.022719383239746;SPDNet;RPAclb
100;5;4.097165822982788;SPDNet;RPAclb
101;6;4.668253660202026;SPDNet;RPAclb
102;7;3.9775338172912598;SPDNet;RPAclb
103;8;4.145673513412476;SPDNet;RPAclb
104;9;6.449443101882935;SPDNet;RPAclb
105;10;4.058916807174683;SPDNet;RPAclb
106;11;6.623126745223999;SPDNet;RPAclb
107;12;4.231324195861816;SPDNet;RPAclb
108;1;145.51100039482117;SPDNet;RPAorg
109;2;149.36429357528687;SPDNet;RPAorg
110;3;188.39992117881775;SPDNet;RPAorg
111;4;166.63887333869934;SPDNet;RPAorg
112;5;112.3092029094696;SPDNet;RPAorg
113;6;114.93036413192749;SPDNet;RPAorg
114;7;125.59730315208435;SPDNet;RPAorg
115;8;110.15398335456848;SPDNet;RPAorg
116;9;118.23127961158752;SPDNet;RPAorg
117;10;124.31254553794861;SPDNet;RPAorg
118;11;128.76073503494263;SPDNet;RPAorg
119;12;122.99023222923279;SPDNet;RPAorg
120;1;376.80300211906433;SPDNet;RPApyriemorg
121;2;287.5158591270447;SPDNet;RPApyriemorg
122;3;368.5256631374359;SPDNet;RPApyriemorg
123;4;273.3272113800049;SPDNet;RPApyriemorg
124;5;383.01417326927185;SPDNet;RPApyriemorg
125;6;386.42547369003296;SPDNet;RPApyriemorg
126;7;320.08007049560547;SPDNet;RPApyriemorg
127;8;358.01865124702454;SPDNet;RPApyriemorg
128;9;671.1262867450714;SPDNet;RPApyriemorg
129;10;329.5175313949585;SPDNet;RPApyriemorg
130;11;440.5662875175476;SPDNet;RPApyriemorg
131;12;463.73922777175903;SPDNet;RPApyriemorg
132;1;328.24468779563904;SPDNet;RPApyriemrct
133;2;286.94347524642944;SPDNet;RPApyriemrct
134;3;420.83725476264954;SPDNet;RPApyriemrct
135;4;284.27367305755615;SPDNet;RPApyriemrct
136;5;400.26163697242737;SPDNet;RPApyriemrct
137;6;325.86809039115906;SPDNet;RPApyriemrct
138;7;368.2979431152344;SPDNet;RPApyriemrct
139;8;447.1255042552948;SPDNet;RPApyriemrct
140;9;811.5432107448578;SPDNet;RPApyriemrct
141;10;325.7378089427948;SPDNet;RPApyriemrct
142;11;505.7974486351013;SPDNet;RPApyriemrct
143;12;304.5941581726074;SPDNet;RPApyriemrct
144;1;292.55360865592957;SPDNet;RPApyriemrot
145;2;350.8957505226135;SPDNet;RPApyriemrot
146;3;312.49924063682556;SPDNet;RPApyriemrot
147;4;293.2909779548645;SPDNet;RPApyriemrot
148;5;386.9623966217041;SPDNet;RPApyriemrot
149;6;312.5212650299072;SPDNet;RPApyriemrot
150;7;352.8538718223572;SPDNet;RPApyriemrot
151;8;559.4416410923004;SPDNet;RPApyriemrot
152;9;341.39238691329956;SPDNet;RPApyriemrot
153;10;310.3605282306671;SPDNet;RPApyriemrot
154;11;457.3000557422638;SPDNet;RPApyriemrot
155;12;316.7970974445343;SPDNet;RPApyriemrot
156;1;201.91000032424927;SPDNet;RPArct
157;2;155.4179027080536;SPDNet;RPArct
158;3;183.78675413131714;SPDNet;RPArct
159;4;146.89174699783325;SPDNet;RPArct
160;5;112.46567821502686;SPDNet;RPArct
161;6;111.96951913833618;SPDNet;RPArct
162;7;115.45598196983337;SPDNet;RPArct
163;8;114.80966591835022;SPDNet;RPArct
164;9;114.26957535743713;SPDNet;RPArct
165;10;106.68645715713501;SPDNet;RPArct
166;11;120.87111449241638;SPDNet;RPArct
167;12;122.8173463344574;SPDNet;RPArct
168;1;155.2149977684021;SPDNet;RPArpa
169;2;135.73195624351501;SPDNet;RPArpa
170;3;183.55748295783997;SPDNet;RPArpa
171;4;107.54627847671509;SPDNet;RPArpa
172;5;111.24052834510803;SPDNet;RPArpa
173;6;120.8727970123291;SPDNet;RPArpa
174;7;109.03426504135132;SPDNet;RPArpa
175;8;112.31607842445374;SPDNet;RPArpa
176;9;130.13572645187378;SPDNet;RPArpa
177;10;124.01186561584473;SPDNet;RPArpa
178;11;129.6228895187378;SPDNet;RPArpa
179;12;127.63074159622192;SPDNet;RPArpa
180;1;7.456145572662353;SPDNet;WO
181;2;7.250266170501709;SPDNet;WO
182;3;7.274484729766845;SPDNet;WO
183;4;7.453302955627441;SPDNet;WO
184;5;7.350887441635132;SPDNet;WO
185;6;7.547673845291138;SPDNet;WO
186;7;7.348924970626831;SPDNet;WO
187;8;7.450617933273316;SPDNet;WO
188;9;7.577921342849732;SPDNet;WO
189;10;7.492705774307251;SPDNet;WO
190;11;7.536807107925415;SPDNet;WO
191;12;7.144999361038208;SPDNet;WO
192;1;1147.1283683776855;SPDbnNet;LOOArecenter
193;2;1148.5870051383972;SPDbnNet;LOOArecenter
194;3;1153.1067607402802;SPDbnNet;LOOArecenter
195;4;1107.9530801773071;SPDbnNet;LOOArecenter
196;5;1095.5191423892975;SPDbnNet;LOOArecenter
197;6;1095.5971014499664;SPDbnNet;LOOArecenter
198;7;1097.1391367912292;SPDbnNet;LOOArecenter
199;8;1094.7197058200836;SPDbnNet;LOOArecenter
200;9;1096.0652439594269;SPDbnNet;LOOArecenter
201;10;1097.677240371704;SPDbnNet;LOOArecenter
202;11;1093.5411291122437;SPDbnNet;LOOArecenter
203;12;1095.8470752239227;SPDbnNet;LOOArecenter
204;1;1101.665830373764;SPDbnNet;LOOA
205;2;1108.448213338852;SPDbnNet;LOOA
206;3;1143.0021233558655;SPDbnNet;LOOA
207;4;1144.6245110034943;SPDbnNet;LOOA
208;5;1125.4766356945038;SPDbnNet;LOOA
209;6;1127.5977919101715;SPDbnNet;LOOA
210;7;1127.392096042633;SPDbnNet;LOOA
211;8;1135.5923156738281;SPDbnNet;LOOA
212;9;1129.6902635097504;SPDbnNet;LOOA
213;10;1131.6110665798187;SPDbnNet;LOOA
214;11;1128.4494483470917;SPDbnNet;LOOA
215;12;1127.3815896511078;SPDbnNet;LOOA
216;1;1115.9787104129791;SPDbnNet;LOOrecenter
217;2;1117.1434967517853;SPDbnNet;LOOrecenter
218;3;1118.8790574073792;SPDbnNet;LOOrecenter
219;4;1117.2627210617065;SPDbnNet;LOOrecenter
220;5;1116.595954656601;SPDbnNet;LOOrecenter
221;6;1111.1860268115997;SPDbnNet;LOOrecenter
222;7;1111.311785697937;SPDbnNet;LOOrecenter
223;8;1114.7164869308472;SPDbnNet;LOOrecenter
224;9;1127.6184566020966;SPDbnNet;LOOrecenter
225;10;1126.293446302414;SPDbnNet;LOOrecenter
226;11;1127.124196767807;SPDbnNet;LOOrecenter
227;12;1127.369910478592;SPDbnNet;LOOrecenter
228;1;1064.3464751243591;SPDbnNet;LOORecStr
229;2;1013.4695725440979;SPDbnNet;LOORecStr
230;3;1005.9243276119232;SPDbnNet;LOORecStr
231;4;1007.3468053340912;SPDbnNet;LOORecStr
232;5;1006.7505714893341;SPDbnNet;LOORecStr
233;6;1007.4382469654083;SPDbnNet;LOORecStr
234;7;1045.3200788497925;SPDbnNet;LOORecStr
235;8;1056.3407905101776;SPDbnNet;LOORecStr
236;9;1062.507572889328;SPDbnNet;LOORecStr
237;10;1110.6290125846863;SPDbnNet;LOORecStr
238;11;1124.496163368225;SPDbnNet;LOORecStr
239;12;1063.3046052455902;SPDbnNet;LOORecStr
240;1;1174.5547337532043;SPDbnNet;LOO
241;2;1142.4302928447723;SPDbnNet;LOO
242;3;1148.3716852664948;SPDbnNet;LOO
243;4;1125.5513968467712;SPDbnNet;LOO
244;5;1052.1463615894318;SPDbnNet;LOO
245;6;1048.145290851593;SPDbnNet;LOO
246;7;1047.1503398418427;SPDbnNet;LOO
247;8;1057.812510251999;SPDbnNet;LOO
248;9;1079.7480266094208;SPDbnNet;LOO
249;10;1066.3347680568695;SPDbnNet;LOO
250;11;1061.4978365898132;SPDbnNet;LOO
251;12;1078.2246317863464;SPDbnNet;LOO
252;1;777.9430930614471;SPDbnNet;WOsample
253;2;4178.081738948822;SPDbnNet;WOsample
254;3;621.32129073143;SPDbnNet;WOsample
255;4;571.5565273761749;SPDbnNet;WOsample
256;5;632.7543249130249;SPDbnNet;WOsample
257;6;551.1870632171631;SPDbnNet;WOsample
258;7;628.7372286319733;SPDbnNet;WOsample
259;8;469.63417887687683;SPDbnNet;WOsample
260;9;564.527996301651;SPDbnNet;WOsample
261;10;516.5131421089172;SPDbnNet;WOsample
262;11;563.6791143417358;SPDbnNet;WOsample
263;12;489.02881145477295;SPDbnNet;WOsample
264;1;67.21475195884705;SPDbnNet;WO
265;2;68.18148422241211;SPDbnNet;WO
266;3;54.7388334274292;SPDbnNet;WO
267;4;68.29141902923584;SPDbnNet;WO
268;5;60.016960859298706;SPDbnNet;WO
269;6;66.28732824325562;SPDbnNet;WO
270;7;67.39675760269165;SPDbnNet;WO
271;8;59.91015267372131;SPDbnNet;WO
272;9;67.64445567131042;SPDbnNet;WO
273;10;55.47393178939819;SPDbnNet;WO
274;11;67.89659714698792;SPDbnNet;WO
275;12;65.81371450424194;SPDbnNet;WO
276;1;1194.9416844844818;BNSPDNet;LOOA
277;2;1436.8564372062683;BNSPDNet;LOOA
278;3;1200.6805198192596;BNSPDNet;LOOA
279;4;1200.5037739276886;BNSPDNet;LOOA
280;5;1177.2973051071167;BNSPDNet;LOOA
281;6;1190.8220348358154;BNSPDNet;LOOA
282;7;1296.6621906757355;BNSPDNet;LOOA
283;8;2954.5929322242737;BNSPDNet;LOOA
284;9;2372.36540555954;BNSPDNet;LOOA
285;10;1926.2515382766724;BNSPDNet;LOOA
286;11;2627.701498031616;BNSPDNet;LOOA
287;12;2349.9962754249573;BNSPDNet;LOOA
