,Score,time,subject,nb_cal,clf,score_01,time_training
0,0.75,1.4719298245614039,1,1,Xdawn+RG+MDM,0.6868648748159057,0.0
1,0.77,1.4880341880341883,1,1,Xdawn+RG+LDA,0.6609996318114875,0.0
2,0.73,1.4211382113821138,1,1,Xdawn+RG+SVC,0.6496410162002946,0.0
3,0.75,1.5309523809523808,1,1,Xdawn+LDA,0.6383008100147276,0.0
4,0.81,1.4585365853658538,1,2,Xdawn+RG+MDM,0.7379014670896114,0.0
5,0.81,1.4671296296296295,1,2,Xdawn+RG+LDA,0.7091048770816812,0.0
6,0.83,1.457083333333333,1,2,Xdawn+RG+SVC,0.7413164155432197,0.0
7,0.88,1.481578947368421,1,2,Xdawn+LDA,0.7411578112609041,0.0
8,0.88,1.4112745098039217,1,3,Xdawn+RG+MDM,0.7908397766323023,0.0
9,0.83,1.435858585858586,1,3,Xdawn+RG+LDA,0.7571842783505154,0.0
10,0.88,1.4680555555555557,1,3,Xdawn+RG+SVC,0.7664035652920962,0.0
11,0.75,1.3738095238095238,1,3,Xdawn+LDA,0.7838434278350516,0.0
12,0.91,1.4693693693693697,1,4,Xdawn+RG+MDM,0.8128573102155576,0.0
13,0.86,1.4880952380952381,1,4,Xdawn+RG+LDA,0.7861410496719775,0.0
14,0.95,1.4499999999999997,1,4,Xdawn+RG+SVC,0.7982778819119025,0.0
15,0.95,1.4824786324786328,1,4,Xdawn+LDA,0.8366447985004686,0.0
16,0.8,1.4397058823529412,1,5,Xdawn+RG+MDM,0.8033440721649484,0.0
17,0.75,1.4576923076923076,1,5,Xdawn+RG+LDA,0.8090077319587629,0.0
18,0.82,1.4155913978494623,1,5,Xdawn+RG+SVC,0.8067203608247423,0.0
19,0.9,1.4755208333333334,1,5,Xdawn+LDA,0.8293943298969072,0.0
20,0.89,1.4023809523809525,1,6,Xdawn+RG+MDM,0.8254653493699885,0.0
21,0.86,1.4411111111111117,1,6,Xdawn+RG+LDA,0.8066652348224513,0.0
22,0.92,1.4227777777777781,1,6,Xdawn+RG+SVC,0.8143184421534937,0.0
23,0.92,1.4065476190476194,1,6,Xdawn+LDA,0.8411655211912944,0.0
24,0.88,1.4308641975308642,1,7,Xdawn+RG+MDM,0.8253946520618556,0.0
25,0.78,1.4541666666666668,1,7,Xdawn+RG+LDA,0.7951433634020619,0.0
26,0.94,1.4686666666666668,1,7,Xdawn+RG+SVC,0.8097293814432989,0.0
27,0.91,1.4794871794871796,1,7,Xdawn+LDA,0.83425418814433,0.0
28,0.89,1.4230158730158728,1,8,Xdawn+RG+MDM,0.8150220913107511,0.0
29,0.89,1.4574074074074075,1,8,Xdawn+RG+LDA,0.8167617820324007,0.0
30,0.86,1.4227272727272724,1,8,Xdawn+RG+SVC,0.8233339469808543,0.0
31,1.0,1.4905797101449274,1,8,Xdawn+LDA,0.8606038291605302,0.0
32,0.92,1.4677083333333334,1,9,Xdawn+RG+MDM,0.8272658934707904,0.0
33,0.92,1.448148148148148,1,9,Xdawn+RG+LDA,0.8228522336769759,0.0
34,0.88,1.458333333333333,1,9,Xdawn+RG+SVC,0.8030927835051547,0.0
35,0.92,1.4241666666666666,1,9,Xdawn+LDA,0.8669888316151202,0.0
36,0.66,1.5156565656565657,2,1,Xdawn+RG+MDM,0.6281526141384388,0.0
37,0.61,1.5261111111111114,2,1,Xdawn+RG+LDA,0.6167111561119293,0.0
38,0.66,1.469191919191919,2,1,Xdawn+RG+SVC,0.6114506627393226,0.0
39,0.61,1.464351851851852,2,1,Xdawn+LDA,0.6079206553755523,0.0009465217590332031
40,0.71,1.5083333333333335,2,2,Xdawn+RG+MDM,0.6691118160190326,0.0
41,0.63,1.4327160493827162,2,2,Xdawn+RG+LDA,0.6665840602696274,0.0
42,0.67,1.4166666666666667,2,2,Xdawn+RG+SVC,0.662678429817605,0.0
43,0.75,1.4494791666666664,2,2,Xdawn+LDA,0.6833217684377478,0.0
44,0.69,1.469444444444445,2,3,Xdawn+RG+MDM,0.6923432130584193,0.0
45,0.77,1.4583333333333335,2,3,Xdawn+RG+LDA,0.6807667525773196,0.0
46,0.75,1.3995370370370372,2,3,Xdawn+RG+SVC,0.6875590635738832,0.0
47,0.79,1.4211111111111114,2,3,Xdawn+LDA,0.7030068728522336,0.0
48,0.77,1.4794117647058824,2,4,Xdawn+RG+MDM,0.7252987347703843,0.0
49,0.77,1.431372549019608,2,4,Xdawn+RG+LDA,0.7224226804123711,0.0
50,0.84,1.4727272727272727,2,4,Xdawn+RG+SVC,0.7166764292408623,0.0
51,0.8,1.456547619047619,2,4,Xdawn+LDA,0.7315370196813495,0.0
52,0.85,1.4552083333333334,2,5,Xdawn+RG+MDM,0.7277963917525774,0.0
53,0.85,1.450555555555556,2,5,Xdawn+RG+LDA,0.733118556701031,0.0
54,0.85,1.4474747474747476,2,5,Xdawn+RG+SVC,0.7325257731958763,0.0
55,0.92,1.4106060606060606,2,5,Xdawn+LDA,0.7533182989690722,0.0
56,0.78,1.4229885057471265,2,6,Xdawn+RG+MDM,0.72618843069874,0.0
57,0.81,1.4285714285714286,2,6,Xdawn+RG+LDA,0.7337270904925544,0.0
58,0.83,1.4486666666666668,2,6,Xdawn+RG+SVC,0.7320804696449026,0.0
59,0.89,1.4388888888888889,2,6,Xdawn+LDA,0.7532431271477664,0.0
60,0.84,1.484057971014493,2,7,Xdawn+RG+MDM,0.7481314432989691,0.0
61,0.81,1.4886904761904767,2,7,Xdawn+RG+LDA,0.7471246778350515,0.0
62,0.91,1.4166666666666665,2,7,Xdawn+RG+SVC,0.7496536726804124,0.0
63,0.84,1.4371794871794874,2,7,Xdawn+LDA,0.7584971005154639,0.0
64,0.86,1.4564102564102568,2,8,Xdawn+RG+MDM,0.7753958026509573,0.0
65,0.86,1.4198717948717952,2,8,Xdawn+RG+LDA,0.7684646539027982,0.0
66,0.86,1.4115942028985504,2,8,Xdawn+RG+SVC,0.7557345360824743,0.0
67,0.93,1.3515873015873014,2,8,Xdawn+LDA,0.7893869661266568,0.0
68,0.83,1.4333333333333331,2,9,Xdawn+RG+MDM,0.7666344501718213,0.0
69,0.83,1.4583333333333333,2,9,Xdawn+RG+LDA,0.7599226804123711,0.0
70,0.92,1.3903508771929822,2,9,Xdawn+RG+SVC,0.7555841924398625,0.0
71,0.83,1.4289473684210525,2,9,Xdawn+LDA,0.7565721649484536,0.0
72,0.64,1.453240740740741,3,1,Xdawn+RG+MDM,0.7261828055964654,0.0
73,0.7,1.5171568627450982,3,1,Xdawn+RG+LDA,0.700441826215022,0.0
74,0.71,1.4387387387387387,3,1,Xdawn+RG+SVC,0.714925441826215,0.0
75,0.59,1.52979797979798,3,1,Xdawn+LDA,0.683215206185567,0.0
76,0.81,1.4213675213675216,3,2,Xdawn+RG+MDM,0.7759169310071372,0.0
77,0.83,1.4675213675213679,3,2,Xdawn+RG+LDA,0.7774236716891356,0.0
78,0.87,1.4503968253968256,3,2,Xdawn+RG+SVC,0.7873463521015067,0.0
79,0.77,1.4495098039215686,3,2,Xdawn+LDA,0.7394676843774781,0.0
80,0.83,1.4657657657657661,3,3,Xdawn+RG+MDM,0.7547304553264604,0.0
81,0.75,1.4817204301075273,3,3,Xdawn+RG+LDA,0.7730079467353952,0.0
82,0.83,1.4465686274509806,3,3,Xdawn+RG+SVC,0.7606260738831615,0.0
83,0.85,1.4537634408602154,3,3,Xdawn+LDA,0.7808902491408934,0.0
84,0.86,1.4485294117647056,3,4,Xdawn+RG+MDM,0.7781982193064667,0.0
85,0.89,1.4588541666666666,3,4,Xdawn+RG+LDA,0.7975105435801312,0.0
86,0.91,1.4714912280701755,3,4,Xdawn+RG+SVC,0.7877870196813496,0.0
87,0.95,1.4692982456140353,3,4,Xdawn+LDA,0.8066541705716963,0.0
88,0.9,1.4322222222222227,3,5,Xdawn+RG+MDM,0.7875966494845361,0.0
89,0.88,1.4538888888888895,3,5,Xdawn+RG+LDA,0.8097487113402062,0.0
90,0.88,1.4166666666666665,3,5,Xdawn+RG+SVC,0.7782152061855669,0.0
91,0.92,1.4585858585858587,3,5,Xdawn+LDA,0.8002190721649485,0.0
92,0.86,1.487634408602151,3,6,Xdawn+RG+MDM,0.7988044100801832,0.0
93,0.94,1.4677419354838712,3,6,Xdawn+RG+LDA,0.8030784650630012,0.0
94,0.94,1.462903225806452,3,6,Xdawn+RG+SVC,0.7950100229095074,0.0
95,0.92,1.5072222222222225,3,6,Xdawn+LDA,0.8238616838487973,0.0
96,0.84,1.4393333333333334,3,7,Xdawn+RG+MDM,0.8128060567010309,0.0
97,0.84,1.4925925925925925,3,7,Xdawn+RG+LDA,0.8240576675257731,0.0
98,0.88,1.4500000000000004,3,7,Xdawn+RG+SVC,0.8124919458762887,0.0
99,0.97,1.4544871794871796,3,7,Xdawn+LDA,0.8349065721649485,0.0
100,0.89,1.4862318840579711,3,8,Xdawn+RG+MDM,0.8313512518409425,0.0
101,0.93,1.4652173913043476,3,8,Xdawn+RG+LDA,0.8317654639175258,0.0
102,0.89,1.4427536231884057,3,8,Xdawn+RG+SVC,0.8201767304860088,0.0
103,0.96,1.4425925925925926,3,8,Xdawn+LDA,0.8487113402061855,0.0
104,0.88,1.452380952380952,3,9,Xdawn+RG+MDM,0.8305841924398625,0.0
105,0.88,1.4428571428571426,3,9,Xdawn+RG+LDA,0.835889175257732,0.0
106,0.83,1.4386363636363633,3,9,Xdawn+RG+SVC,0.8309493127147767,0.0
107,0.92,1.4385964912280702,3,9,Xdawn+LDA,0.8471971649484535,0.0
108,0.48,1.48,4,1,Xdawn+RG+MDM,0.5845544918998528,0.0
109,0.68,1.4392156862745098,4,1,Xdawn+RG+LDA,0.6346465390279823,0.0
110,0.5,1.462121212121212,4,1,Xdawn+RG+SVC,0.5843289764359352,0.0
111,0.5,1.4339285714285717,4,1,Xdawn+LDA,0.6088641384388807,0.0
112,0.71,1.4916666666666665,4,2,Xdawn+RG+MDM,0.6906175654242664,0.0
113,0.85,1.4901041666666668,4,2,Xdawn+RG+LDA,0.6856760507533703,0.0
114,0.75,1.486752136752137,4,2,Xdawn+RG+SVC,0.662896510705789,0.0
115,0.79,1.5034313725490198,4,2,Xdawn+LDA,0.6988649881046789,0.0
116,0.79,1.4343137254901959,4,3,Xdawn+RG+MDM,0.7191151202749141,0.0
117,0.85,1.47,4,3,Xdawn+RG+LDA,0.7259933419243987,0.0
118,0.83,1.4627450980392158,4,3,Xdawn+RG+SVC,0.6982066151202749,0.0
119,0.85,1.4,4,3,Xdawn+LDA,0.7276954467353952,0.0
120,0.84,1.471666666666667,4,4,Xdawn+RG+MDM,0.707409793814433,1.2636184692382812e-05
121,0.82,1.4775862068965517,4,4,Xdawn+RG+LDA,0.711996251171509,0.0
122,0.84,1.5298850574712644,4,4,Xdawn+RG+SVC,0.7076265229615746,0.0
123,0.89,1.4580246913580248,4,4,Xdawn+LDA,0.7169751640112465,0.0
