,Score,time,subject,nb_cal,clf,score_01
0,0.73,1.4437499999999999,1,1,Xdawn+RG+MDM,0.661234351988218
1,0.62,1.4227272727272728,1,1,Xdawn+RG+LDA,0.601380706921944
2,0.59,1.4089430894308943,1,1,Xdawn+RG+SVC,0.5448315537555228
3,0.75,1.4473118279569896,1,1,Xdawn+LDA,0.6407032400589101
4,0.87,1.4328828828828828,1,2,Xdawn+RG+MDM,0.7664898889770024
5,0.79,1.4217592592592594,1,2,Xdawn+RG+LDA,0.6990880253766851
6,0.83,1.4678861788617885,1,2,Xdawn+RG+SVC,0.6245886201427439
7,0.81,1.4146341463414633,1,2,Xdawn+LDA,0.7044557890563046
8,0.92,1.4547619047619051,1,3,Xdawn+RG+MDM,0.7861844931271478
9,0.85,1.448648648648649,1,3,Xdawn+RG+LDA,0.733923969072165
10,0.79,1.4081081081081084,1,3,Xdawn+RG+SVC,0.6288659793814433
11,0.88,1.4304878048780487,1,3,Xdawn+LDA,0.7487113402061856
12,0.93,1.467156862745098,1,4,Xdawn+RG+MDM,0.8067127460168697
13,0.84,1.453921568627451,1,4,Xdawn+RG+LDA,0.7373008434864106
14,0.89,1.4364864864864864,1,4,Xdawn+RG+SVC,0.6901241799437676
15,0.89,1.393589743589744,1,4,Xdawn+LDA,0.7987933458294283
16,0.88,1.4232323232323232,1,5,Xdawn+RG+MDM,0.8188337628865979
17,0.88,1.3937499999999998,1,5,Xdawn+RG+LDA,0.7528930412371134
18,0.85,1.463888888888889,1,5,Xdawn+RG+SVC,0.7293492268041237
19,0.88,1.4282828282828284,1,5,Xdawn+LDA,0.8114432989690722
20,0.92,1.462903225806452,1,6,Xdawn+RG+MDM,0.8213201603665521
21,0.89,1.403571428571429,1,6,Xdawn+RG+LDA,0.7503221649484536
22,0.86,1.4161111111111115,1,6,Xdawn+RG+SVC,0.715356529209622
23,0.86,1.395161290322581,1,6,Xdawn+LDA,0.8126861397479954
24,0.84,1.4048611111111111,1,7,Xdawn+RG+MDM,0.82578125
