,0,1,2,3,4,5,6,7,8,9,10,11
0,1.0,0.86,0.95,0.95,0.98,1.0,0.64,0.98,0.86,1.0,0.89,0.8
1,0.98,0.91,0.98,0.95,0.98,1.0,0.61,0.98,0.89,1.0,0.89,0.77
2,0.98,0.89,0.95,0.95,0.98,1.0,0.59,0.98,0.89,1.0,0.89,0.75
3,0.98,0.89,0.95,0.98,0.98,0.98,0.64,0.98,0.86,1.0,0.89,0.8
4,1.0,0.89,0.95,0.98,0.98,1.0,0.68,0.98,0.84,1.0,0.89,0.8
5,1.0,0.91,0.95,0.98,0.98,1.0,0.73,0.98,0.86,1.0,0.89,0.77
6,0.98,0.91,0.95,0.98,0.98,1.0,0.64,0.98,0.86,1.0,0.89,0.77
7,1.0,0.89,0.91,0.98,0.98,1.0,0.57,0.98,0.86,1.0,0.89,0.77
8,1.0,0.91,0.98,0.95,1.0,0.98,0.59,0.98,0.86,1.0,0.89,0.77
9,0.98,0.91,0.98,0.95,0.98,1.0,0.68,0.98,0.82,1.0,0.89,0.77
