,0,1,2,3,4,5,6,7,8,9,10,11
0,0.98,0.87,0.97,0.93,0.97,0.98,0.62,0.98,0.85,1.0,0.87,0.8
1,1.0,0.88,0.97,0.95,0.95,1.0,0.65,0.98,0.83,1.0,0.87,0.83
2,0.97,0.88,0.97,0.95,0.95,1.0,0.67,0.98,0.85,1.0,0.87,0.77
3,0.97,0.88,0.97,0.97,0.95,1.0,0.67,0.98,0.88,1.0,0.9,0.77
4,0.98,0.88,0.95,0.97,0.95,1.0,0.58,0.98,0.87,1.0,0.88,0.77
5,0.97,0.87,0.97,0.93,0.97,1.0,0.65,0.98,0.9,1.0,0.88,0.77
6,1.0,0.88,0.98,0.95,0.97,0.98,0.68,0.98,0.87,1.0,0.87,0.8
7,1.0,0.9,0.97,0.97,0.95,1.0,0.65,0.97,0.83,1.0,0.88,0.75
8,1.0,0.9,0.98,0.92,0.97,1.0,0.65,0.97,0.85,1.0,0.88,0.77
9,1.0,0.87,0.98,0.93,0.98,1.0,0.68,0.98,0.9,1.0,0.88,0.77
