,0,1,2,3,4,5,6,7,8,9,10,11
0,0.93,0.89,1.0,0.98,1.0,1.0,0.89,0.98,0.93,1.0,0.91,0.8
1,0.91,0.82,1.0,0.95,1.0,0.98,0.95,0.98,0.8,1.0,0.86,0.8
2,0.91,0.84,0.93,0.89,0.95,0.95,0.89,0.98,0.91,1.0,0.89,0.8
3,0.95,0.89,0.98,0.93,1.0,1.0,0.95,0.98,0.82,1.0,0.86,0.86
4,0.93,0.86,0.91,0.93,1.0,1.0,0.93,0.98,0.89,1.0,0.89,0.82
5,0.98,0.84,1.0,0.95,1.0,0.98,0.93,0.98,0.77,1.0,0.86,0.8
6,0.98,0.91,0.98,0.91,1.0,0.98,0.93,0.98,0.91,1.0,0.89,0.73
7,0.93,0.82,0.98,0.91,1.0,0.98,0.95,0.98,0.98,1.0,0.89,0.82
8,0.86,0.77,0.98,0.93,1.0,1.0,0.93,0.93,0.89,1.0,0.82,0.84
9,0.95,0.89,0.95,0.93,1.0,0.95,0.95,0.98,0.93,1.0,0.89,0.8
