,0,1,2,3,4,5,6,7,8,9,10,11
0,0.98,0.83,0.98,0.97,1.0,0.98,0.97,0.93,0.9,1.0,0.87,0.8
1,0.98,0.92,0.95,0.93,1.0,1.0,0.93,0.95,0.73,1.0,0.88,0.8
2,0.97,0.82,0.93,0.95,1.0,0.97,0.93,0.93,0.88,0.98,0.83,0.77
3,0.95,0.87,0.97,0.93,1.0,0.97,0.93,0.93,0.92,1.0,0.85,0.83
4,0.97,0.87,0.93,0.92,1.0,0.98,0.92,0.9,0.83,1.0,0.88,0.73
5,0.95,0.83,0.98,0.93,1.0,0.97,0.9,0.97,0.92,1.0,0.87,0.78
6,0.95,0.88,0.93,0.92,1.0,0.97,0.92,0.97,0.87,1.0,0.87,0.8
7,0.97,0.83,0.98,0.92,0.98,1.0,0.93,0.92,0.83,0.98,0.85,0.72
8,0.93,0.88,0.97,0.95,0.98,1.0,0.92,0.93,0.83,1.0,0.85,0.78
9,0.92,0.87,0.95,0.93,1.0,0.98,0.9,0.95,0.85,1.0,0.85,0.8
