,0,1,2,3,4,5,6,7,8,9,10,11
0,0.91,0.88,0.94,0.94,1.0,1.0,0.97,0.97,0.94,1.0,0.91,0.84
1,0.94,0.91,0.94,0.91,1.0,1.0,0.97,1.0,0.94,1.0,0.94,0.75
2,0.84,0.91,0.88,0.91,1.0,1.0,0.97,0.97,0.88,1.0,0.91,0.75
3,0.94,0.78,1.0,0.88,1.0,1.0,0.97,1.0,0.84,1.0,0.91,0.72
4,0.91,0.84,1.0,0.88,0.97,0.97,0.97,1.0,0.94,1.0,0.91,0.78
5,0.91,0.81,0.94,0.94,1.0,0.97,0.94,1.0,0.91,1.0,0.91,0.75
6,0.94,0.84,0.97,0.91,1.0,1.0,0.94,0.97,0.84,1.0,0.91,0.75
7,0.94,0.84,0.97,0.88,1.0,0.97,0.97,1.0,0.88,1.0,0.84,0.81
8,0.94,0.84,0.97,0.94,1.0,1.0,0.94,1.0,0.94,1.0,0.94,0.72
9,0.91,0.88,0.94,0.91,1.0,1.0,0.97,0.97,0.72,1.0,0.91,0.75
