,1,2,3,4,5,6,7,8,9,10,11,12
0,0.94,0.84,0.91,0.91,0.91,0.97,0.81,1.0,0.66,1.0,0.91,0.72
1,0.94,0.94,0.97,0.97,1.0,1.0,0.91,1.0,0.84,1.0,0.91,0.78
2,0.97,0.84,0.97,0.97,1.0,0.97,0.81,1.0,0.97,0.66,0.88,0.72
3,0.94,0.81,0.97,0.91,0.97,0.97,0.91,1.0,0.91,1.0,0.94,0.72
4,0.94,0.88,0.97,0.88,0.97,0.97,0.28,0.34,0.94,1.0,0.88,0.62
5,0.94,0.72,0.94,0.94,0.97,1.0,0.88,1.0,0.84,0.97,0.88,0.72
6,0.91,0.84,0.97,0.94,0.97,0.94,0.88,1.0,0.94,1.0,0.94,0.75
7,0.97,0.88,0.97,0.94,0.97,1.0,0.97,1.0,0.94,0.91,0.84,0.75
8,0.94,0.88,0.97,0.94,0.84,0.97,0.91,0.97,0.84,0.94,0.88,0.75
9,1.0,0.84,0.97,0.91,0.94,0.97,0.97,0.97,0.91,1.0,0.91,0.75
