,1,2,3,4,5,6,7,8,9,10,11,12
0,0.91,0.81,0.94,0.94,1.0,0.97,0.94,1.0,0.94,1.0,0.94,0.69
1,0.97,0.78,0.91,0.94,0.97,0.94,0.94,1.0,0.94,1.0,0.91,0.62
2,0.94,0.84,0.97,0.94,1.0,0.97,0.91,1.0,0.91,1.0,0.88,0.78
3,0.88,0.84,0.91,0.94,1.0,0.97,0.84,1.0,0.81,1.0,0.97,0.59
4,0.94,0.81,0.91,0.88,0.97,0.97,0.75,1.0,0.84,0.97,0.88,0.75
5,0.94,0.84,0.94,0.97,1.0,1.0,0.94,0.97,0.84,1.0,0.94,0.81
6,0.91,0.81,0.91,0.97,0.97,1.0,0.94,1.0,0.91,1.0,0.91,0.59
7,0.88,0.81,0.94,0.97,1.0,0.94,0.94,1.0,0.94,1.0,0.88,0.75
8,0.97,0.84,0.94,0.94,1.0,0.97,0.94,1.0,0.81,1.0,0.88,0.69
9,0.97,0.78,0.94,0.88,1.0,0.97,0.94,0.97,0.88,1.0,0.94,0.69
