,0,1,2,3,4,5,6,7,8,9,10,11
0,0.95,0.87,0.92,0.97,1.0,0.98,0.95,0.95,0.85,1.0,0.87,0.8
1,0.97,0.87,0.93,0.93,1.0,1.0,0.88,0.93,0.9,1.0,0.88,0.77
2,0.92,0.87,0.98,0.92,1.0,0.97,0.92,0.95,0.88,1.0,0.85,0.8
3,0.97,0.88,0.97,0.93,0.98,0.98,0.97,0.95,0.88,1.0,0.87,0.82
4,0.97,0.92,0.92,0.93,1.0,1.0,0.93,0.97,0.87,1.0,0.9,0.8
5,0.97,0.93,0.98,0.92,1.0,0.97,0.95,0.92,0.92,1.0,0.87,0.85
6,0.97,0.9,0.97,0.92,1.0,0.98,0.95,0.97,0.95,1.0,0.9,0.8
7,0.97,0.9,0.97,0.95,1.0,0.97,0.93,0.97,0.85,1.0,0.83,0.73
8,0.97,0.87,0.93,0.95,1.0,0.98,0.97,0.98,0.87,1.0,0.9,0.77
9,0.95,0.87,0.95,0.93,1.0,0.98,0.92,0.93,0.78,1.0,0.9,0.82
