,0,1,2,3,4,5,6,7,8,9,10,11
0,0.97,0.81,0.97,0.94,1.0,1.0,0.94,1.0,0.81,1.0,0.88,0.78
1,0.94,0.84,0.94,0.91,0.97,0.97,0.97,1.0,0.94,1.0,0.88,0.62
2,0.91,0.88,1.0,0.91,1.0,0.97,0.94,0.97,0.91,1.0,0.88,0.62
3,0.94,0.88,0.94,0.91,1.0,0.94,0.94,0.94,0.91,1.0,0.88,0.59
4,0.91,0.84,0.94,0.94,1.0,0.94,0.97,0.97,0.78,1.0,0.94,0.62
5,0.94,0.84,0.97,0.97,1.0,0.97,0.97,0.97,0.84,1.0,0.88,0.66
6,0.97,0.78,0.91,0.94,1.0,1.0,1.0,0.97,0.84,1.0,0.88,0.66
7,0.91,0.88,0.94,0.88,0.94,1.0,0.94,1.0,0.88,1.0,0.94,0.56
8,0.84,0.81,0.91,0.91,1.0,0.97,0.94,0.97,0.97,1.0,0.91,0.62
9,0.94,0.88,0.88,0.91,1.0,0.97,0.97,0.97,0.94,1.0,0.88,0.84
